id,project,path,revision,url,start,end,comment,below
1,cruxlinux/docker-crux,cruxlinux/docker-crux/build/aarch64/Dockerfile,78132f1f828e871dab1a541f78b7631ad5d12c11,https://github.com/cruxlinux/docker-crux/blob/78132f1f828e871dab1a541f78b7631ad5d12c11/build/aarch64/Dockerfile#L3-L3,3,3,"# TODO: Once bootstrapped, use 'crux:latest'",FROM alpine:3.8
2,docker-library/docker,"docker-library/docker/19.03/Dockerfile
docker-library/docker/19.03-rc/Dockerfile",cdd23554f9417055ca2a18805fa9ad5716209934,"https://github.com/docker-library/docker/blob/cdd23554f9417055ca2a18805fa9ad5716209934/19.03/Dockerfile#L8-L11
https://github.com/docker-library/docker/blob/cdd23554f9417055ca2a18805fa9ad5716209934/19.03-rc/Dockerfile#L8-L11","8
8","11
11","# set up nsswitch.conf for Go's ""netgo"" implementation (which Docker explicitly uses)
# - https://github.com/docker/docker-ce/blob/v17.09.0-ce/components/engine/hack/make.sh#L149
# - https://github.com/golang/go/blob/go1.9.1/src/net/conf.go#L194-L275
# - docker run --rm debian:stretch grep '^hosts:' /etc/nsswitch.conf",RUN [ ! -e /etc/nsswitch.conf ] && echo 'hosts: files dns' > /etc/nsswitch.conf
3,docker-library/docker,"docker-library/docker/19.03/Dockerfile
docker-library/docker/19.03-rc/Dockerfile",cdd23554f9417055ca2a18805fa9ad5716209934,"https://github.com/docker-library/docker/blob/cdd23554f9417055ca2a18805fa9ad5716209934/19.03/Dockerfile#L16-L18
https://github.com/docker-library/docker/blob/cdd23554f9417055ca2a18805fa9ad5716209934/19.03-rc/Dockerfile#L16-L18","16
16","18
18","# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",
4,docker-library/docker,"docker-library/docker/19.03/dind/Dockerfile
docker-library/docker/19.03-rc/dind/Dockerfile",cdd23554f9417055ca2a18805fa9ad5716209934,"https://github.com/docker-library/docker/blob/cdd23554f9417055ca2a18805fa9ad5716209934/19.03/dind/Dockerfile#L24-L24
https://github.com/docker-library/docker/blob/cdd23554f9417055ca2a18805fa9ad5716209934/19.03-rc/dind/Dockerfile#L24-L24","24
24","24
24",# TODO aufs-tools,
5,docker-library/docker,"docker-library/docker/19.03/dind/Dockerfile
docker-library/docker/19.03-rc/dind/Dockerfile",cdd23554f9417055ca2a18805fa9ad5716209934,"https://github.com/docker-library/docker/blob/cdd23554f9417055ca2a18805fa9ad5716209934/19.03/dind/Dockerfile#L33-L33
https://github.com/docker-library/docker/blob/cdd23554f9417055ca2a18805fa9ad5716209934/19.03-rc/dind/Dockerfile#L33-L33","33
33","33
33",# https://github.com/docker/docker/tree/master/hack/dind,ENV DIND_COMMIT 37498f009d8bf25fbb6199e8ccd34bed84f2874b
6,docker-library/docs,docker-library/docs/Dockerfile,a1f9f5dc41f0bd53c942b40f0b003f9405874970,https://github.com/docker-library/docs/blob/a1f9f5dc41f0bd53c942b40f0b003f9405874970/Dockerfile#L14-L14,14,14,# TODO find a way to make --mirror-only / SSL work with backpan too :(,RUN cpanm Digest::SHA Module::Signature
7,docker-library/docs,docker-library/docs/Dockerfile,a1f9f5dc41f0bd53c942b40f0b003f9405874970,https://github.com/docker-library/docs/blob/a1f9f5dc41f0bd53c942b40f0b003f9405874970/Dockerfile#L16-L17,16,17,"# TODO find a way to make --verify work with backpan as well :'(
#ENV PERL_CPANM_OPT $PERL_CPANM_OPT --verify",
8,docker-library/drupal,"docker-library/drupal/7/apache/Dockerfile
docker-library/drupal/7/fpm/Dockerfile
docker-library/drupal/8.7/apache/Dockerfile
docker-library/drupal/8.7/fpm/Dockerfile
docker-library/drupal/8.8/apache/Dockerfile
docker-library/drupal/8.8/fpm/Dockerfile",a238069a74de3039f8effb25f59224fbeaf93646,"https://github.com/docker-library/drupal/blob/a238069a74de3039f8effb25f59224fbeaf93646/7/apache/Dockerfile#L3-L3
https://github.com/docker-library/drupal/blob/a238069a74de3039f8effb25f59224fbeaf93646/7/fpm/Dockerfile#L3-L3
https://github.com/docker-library/drupal/blob/a238069a74de3039f8effb25f59224fbeaf93646/8.7/apache/Dockerfile#L3-L3
https://github.com/docker-library/drupal/blob/a238069a74de3039f8effb25f59224fbeaf93646/8.7/fpm/Dockerfile#L3-L3
https://github.com/docker-library/drupal/blob/a238069a74de3039f8effb25f59224fbeaf93646/8.8/apache/Dockerfile#L3-L3
https://github.com/docker-library/drupal/blob/a238069a74de3039f8effb25f59224fbeaf93646/8.8/fpm/Dockerfile#L3-L3","3
3
3
3
3
3","3
3
3
3
3
3",# TODO switch to buster once https://github.com/docker-library/php/issues/865 is resolved in a clean way (either in the PHP image or in PHP itself),
9,docker-library/gcc,"docker-library/gcc/10/Dockerfile
docker-library/gcc/8/Dockerfile
docker-library/gcc/9/Dockerfile",7f1fc5e8be598446b2546b808572db546e959643,"https://github.com/docker-library/gcc/blob/7f1fc5e8be598446b2546b808572db546e959643/10/Dockerfile#L112-L113
https://github.com/docker-library/gcc/blob/7f1fc5e8be598446b2546b808572db546e959643/8/Dockerfile#L112-L113
https://github.com/docker-library/gcc/blob/7f1fc5e8be598446b2546b808572db546e959643/9/Dockerfile#L112-L113","112
112
112","113
113
113","# TODO for some reason, libgo + i386 fails on https://github.com/gcc-mirror/gcc/blob/gcc-7_1_0-release/libgo/runtime/proc.c#L154
# ""error unknown case for SETCONTEXT_CLOBBERS_TLS""",			;; \
10,docker-library/mongo,"docker-library/mongo/3.6/Dockerfile
docker-library/mongo/4.0/Dockerfile
docker-library/mongo/4.2/Dockerfile",3ec50f2f7ae9fd2c824682bc08d07a093bbdb521,"https://github.com/docker-library/mongo/blob/3ec50f2f7ae9fd2c824682bc08d07a093bbdb521/3.6/Dockerfile#L49-L49
https://github.com/docker-library/mongo/blob/3ec50f2f7ae9fd2c824682bc08d07a093bbdb521/4.0/Dockerfile#L49-L49
https://github.com/docker-library/mongo/blob/3ec50f2f7ae9fd2c824682bc08d07a093bbdb521/4.2/Dockerfile#L49-L49","49
49
49","49
49
49",# TODO some sort of download verification here,	\
