id,project,path,revision,url,start,end,comment,below
11,docker-library/mongo,"docker-library/mongo/3.6/windows/windowsservercore-1809/Dockerfile
docker-library/mongo/3.6/windows/windowsservercore-ltsc2016/Dockerfile
docker-library/mongo/4.0/windows/windowsservercore-1809/Dockerfile
docker-library/mongo/4.0/windows/windowsservercore-ltsc2016/Dockerfile
docker-library/mongo/4.2/windows/windowsservercore-1809/Dockerfile
docker-library/mongo/4.2/windows/windowsservercore-ltsc2016/Dockerfile",3ec50f2f7ae9fd2c824682bc08d07a093bbdb521,"https://github.com/docker-library/mongo/blob/3ec50f2f7ae9fd2c824682bc08d07a093bbdb521/3.6/windows/windowsservercore-1809/Dockerfile#L48-L48
https://github.com/docker-library/mongo/blob/3ec50f2f7ae9fd2c824682bc08d07a093bbdb521/3.6/windows/windowsservercore-ltsc2016/Dockerfile#L48-L48
https://github.com/docker-library/mongo/blob/3ec50f2f7ae9fd2c824682bc08d07a093bbdb521/4.0/windows/windowsservercore-1809/Dockerfile#L48-L48
https://github.com/docker-library/mongo/blob/3ec50f2f7ae9fd2c824682bc08d07a093bbdb521/4.0/windows/windowsservercore-ltsc2016/Dockerfile#L48-L48
https://github.com/docker-library/mongo/blob/3ec50f2f7ae9fd2c824682bc08d07a093bbdb521/4.2/windows/windowsservercore-1809/Dockerfile#L48-L48
https://github.com/docker-library/mongo/blob/3ec50f2f7ae9fd2c824682bc08d07a093bbdb521/4.2/windows/windowsservercore-ltsc2016/Dockerfile#L48-L48","48
48
48
48
48
48","48
48
48
48
48
48","# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",
12,docker-library/openjdk,"docker-library/openjdk/11/jdk/Dockerfile
docker-library/openjdk/11/jdk/slim/Dockerfile
docker-library/openjdk/11/jre/Dockerfile
docker-library/openjdk/11/jre/slim/Dockerfile
docker-library/openjdk/8/jdk/Dockerfile
docker-library/openjdk/8/jdk/slim/Dockerfile
docker-library/openjdk/8/jre/Dockerfile
docker-library/openjdk/8/jre/slim/Dockerfile",bb4265f075850b8b6b36347d0cb045a3fa4df18e,"https://github.com/docker-library/openjdk/blob/bb4265f075850b8b6b36347d0cb045a3fa4df18e/11/jdk/Dockerfile#L58-L59
https://github.com/docker-library/openjdk/blob/bb4265f075850b8b6b36347d0cb045a3fa4df18e/11/jdk/slim/Dockerfile#L58-L59
https://github.com/docker-library/openjdk/blob/bb4265f075850b8b6b36347d0cb045a3fa4df18e/11/jre/Dockerfile#L58-L59
https://github.com/docker-library/openjdk/blob/bb4265f075850b8b6b36347d0cb045a3fa4df18e/11/jre/slim/Dockerfile#L58-L59
https://github.com/docker-library/openjdk/blob/bb4265f075850b8b6b36347d0cb045a3fa4df18e/8/jdk/Dockerfile#L58-L59
https://github.com/docker-library/openjdk/blob/bb4265f075850b8b6b36347d0cb045a3fa4df18e/8/jdk/slim/Dockerfile#L58-L59
https://github.com/docker-library/openjdk/blob/bb4265f075850b8b6b36347d0cb045a3fa4df18e/8/jre/Dockerfile#L58-L59
https://github.com/docker-library/openjdk/blob/bb4265f075850b8b6b36347d0cb045a3fa4df18e/8/jre/slim/Dockerfile#L58-L59","58
58
58
58
58
58
58
58","59
59
59
59
59
59
59
59","# TODO find a good link for users to verify this key is right (https://mail.openjdk.java.net/pipermail/jdk-updates-dev/2019-April/000951.html is one of the only mentions of it I can find); perhaps a note added to https://adoptopenjdk.net/upstream.html would make sense?
# no-self-sigs-only: https://salsa.debian.org/debian/gnupg2/commit/c93ca04a53569916308b369c8b218dad5ae8fe07",	gpg --batch --keyserver ha.pool.sks-keyservers.net --keyserver-options no-self-sigs-only --recv-keys CA5F11C6CE22644D42C6AC4492EF8D39DC13168F; \
13,docker-library/openjdk,"docker-library/openjdk/11/jdk/Dockerfile
docker-library/openjdk/11/jdk/slim/Dockerfile
docker-library/openjdk/11/jre/Dockerfile
docker-library/openjdk/11/jre/slim/Dockerfile
docker-library/openjdk/8/jdk/Dockerfile
docker-library/openjdk/8/jdk/slim/Dockerfile
docker-library/openjdk/8/jre/Dockerfile
docker-library/openjdk/8/jre/slim/Dockerfile",bb4265f075850b8b6b36347d0cb045a3fa4df18e,"https://github.com/docker-library/openjdk/blob/bb4265f075850b8b6b36347d0cb045a3fa4df18e/11/jdk/Dockerfile#L81-L81
https://github.com/docker-library/openjdk/blob/bb4265f075850b8b6b36347d0cb045a3fa4df18e/11/jdk/slim/Dockerfile#L81-L81
https://github.com/docker-library/openjdk/blob/bb4265f075850b8b6b36347d0cb045a3fa4df18e/11/jre/Dockerfile#L81-L81
https://github.com/docker-library/openjdk/blob/bb4265f075850b8b6b36347d0cb045a3fa4df18e/11/jre/slim/Dockerfile#L81-L81
https://github.com/docker-library/openjdk/blob/bb4265f075850b8b6b36347d0cb045a3fa4df18e/8/jdk/Dockerfile#L81-L81
https://github.com/docker-library/openjdk/blob/bb4265f075850b8b6b36347d0cb045a3fa4df18e/8/jdk/slim/Dockerfile#L81-L81
https://github.com/docker-library/openjdk/blob/bb4265f075850b8b6b36347d0cb045a3fa4df18e/8/jre/Dockerfile#L81-L81
https://github.com/docker-library/openjdk/blob/bb4265f075850b8b6b36347d0cb045a3fa4df18e/8/jre/slim/Dockerfile#L81-L81","81
81
81
81
81
81
81
81","81
81
81
81
81
81
81
81","# TODO strip ""demo"" and ""man"" folders?",	\
14,docker-library/openjdk,"docker-library/openjdk/11/jdk/windows/windowsservercore-1809/Dockerfile
docker-library/openjdk/11/jdk/windows/windowsservercore-ltsc2016/Dockerfile
docker-library/openjdk/11/jre/windows/windowsservercore-1809/Dockerfile
docker-library/openjdk/11/jre/windows/windowsservercore-ltsc2016/Dockerfile
docker-library/openjdk/8/jdk/windows/windowsservercore-1809/Dockerfile
docker-library/openjdk/8/jdk/windows/windowsservercore-ltsc2016/Dockerfile
docker-library/openjdk/8/jre/windows/windowsservercore-1809/Dockerfile
docker-library/openjdk/8/jre/windows/windowsservercore-ltsc2016/Dockerfile",bb4265f075850b8b6b36347d0cb045a3fa4df18e,"https://github.com/docker-library/openjdk/blob/bb4265f075850b8b6b36347d0cb045a3fa4df18e/11/jdk/windows/windowsservercore-1809/Dockerfile#L32-L32
https://github.com/docker-library/openjdk/blob/bb4265f075850b8b6b36347d0cb045a3fa4df18e/11/jdk/windows/windowsservercore-ltsc2016/Dockerfile#L32-L32
https://github.com/docker-library/openjdk/blob/bb4265f075850b8b6b36347d0cb045a3fa4df18e/11/jre/windows/windowsservercore-1809/Dockerfile#L32-L32
https://github.com/docker-library/openjdk/blob/bb4265f075850b8b6b36347d0cb045a3fa4df18e/11/jre/windows/windowsservercore-ltsc2016/Dockerfile#L32-L32
https://github.com/docker-library/openjdk/blob/bb4265f075850b8b6b36347d0cb045a3fa4df18e/8/jdk/windows/windowsservercore-1809/Dockerfile#L32-L32
https://github.com/docker-library/openjdk/blob/bb4265f075850b8b6b36347d0cb045a3fa4df18e/8/jdk/windows/windowsservercore-ltsc2016/Dockerfile#L32-L32
https://github.com/docker-library/openjdk/blob/bb4265f075850b8b6b36347d0cb045a3fa4df18e/8/jre/windows/windowsservercore-1809/Dockerfile#L32-L32
https://github.com/docker-library/openjdk/blob/bb4265f075850b8b6b36347d0cb045a3fa4df18e/8/jre/windows/windowsservercore-ltsc2016/Dockerfile#L32-L32","32
32
32
32
32
32
32
32","32
32
32
32
32
32
32
32",# TODO signature? checksum?,	\
15,docker-library/postgres,"docker-library/postgres/10/Dockerfile
docker-library/postgres/11/Dockerfile
docker-library/postgres/12/Dockerfile
docker-library/postgres/13/Dockerfile
docker-library/postgres/9.5/Dockerfile
docker-library/postgres/9.6/Dockerfile",9c5ca99fdc9af3e2cbefbc3bfa3348fe12fe9514,"https://github.com/docker-library/postgres/blob/9c5ca99fdc9af3e2cbefbc3bfa3348fe12fe9514/10/Dockerfile#L108-L109
https://github.com/docker-library/postgres/blob/9c5ca99fdc9af3e2cbefbc3bfa3348fe12fe9514/11/Dockerfile#L108-L109
https://github.com/docker-library/postgres/blob/9c5ca99fdc9af3e2cbefbc3bfa3348fe12fe9514/12/Dockerfile#L108-L109
https://github.com/docker-library/postgres/blob/9c5ca99fdc9af3e2cbefbc3bfa3348fe12fe9514/13/Dockerfile#L108-L109
https://github.com/docker-library/postgres/blob/9c5ca99fdc9af3e2cbefbc3bfa3348fe12fe9514/9.5/Dockerfile#L108-L109
https://github.com/docker-library/postgres/blob/9c5ca99fdc9af3e2cbefbc3bfa3348fe12fe9514/9.6/Dockerfile#L108-L109","108
108
108
108
108
108","109
109
109
109
109
109","# https://github.com/docker-library/postgres/issues/484 (clang-6.0 required, only available in stretch-backports)
# TODO remove this once we hit buster+","					echo 'deb http://deb.debian.org/debian stretch-backports main' >> /etc/apt/sources.list.d/pgdg.list; \
					echo 'deb http://deb.debian.org/debian buster-backports main' >> /etc/apt/sources.list.d/pgdg.list; \
					echo 'deb http://deb.debian.org/debian buster-backports main' >> /etc/apt/sources.list.d/pgdg.list; \
					echo 'deb http://deb.debian.org/debian stretch-backports main' >> /etc/apt/sources.list.d/pgdg.list; \
					echo 'deb http://deb.debian.org/debian stretch-backports main' >> /etc/apt/sources.list.d/pgdg.list; \"
16,docker-library/pypy,"docker-library/pypy/2.7/Dockerfile
docker-library/pypy/2.7/slim/Dockerfile
docker-library/pypy/3.6/Dockerfile
docker-library/pypy/3.6/slim/Dockerfile",e335b7b193bb4c08c03804454ecc08950ce3f541,"https://github.com/docker-library/pypy/blob/e335b7b193bb4c08c03804454ecc08950ce3f541/2.7/Dockerfile#L54-L54
https://github.com/docker-library/pypy/blob/e335b7b193bb4c08c03804454ecc08950ce3f541/2.7/slim/Dockerfile#L56-L56
https://github.com/docker-library/pypy/blob/e335b7b193bb4c08c03804454ecc08950ce3f541/3.6/Dockerfile#L58-L58
https://github.com/docker-library/pypy/blob/e335b7b193bb4c08c03804454ecc08950ce3f541/3.6/slim/Dockerfile#L60-L60","54
56
58
60","54
56
58
60",# TODO rebuild other cffi modules here too? (other _*_build.py files),	fi; \
17,docker-library/rabbitmq,"docker-library/rabbitmq/3.7/alpine/Dockerfile
docker-library/rabbitmq/3.7/ubuntu/Dockerfile
docker-library/rabbitmq/3.7-rc/alpine/Dockerfile
docker-library/rabbitmq/3.7-rc/ubuntu/Dockerfile
docker-library/rabbitmq/3.8/alpine/Dockerfile
docker-library/rabbitmq/3.8/ubuntu/Dockerfile
docker-library/rabbitmq/3.8-rc/alpine/Dockerfile
docker-library/rabbitmq/3.8-rc/ubuntu/Dockerfile",29b163923699c18c6d76a95df10ba52665ef8741,"https://github.com/docker-library/rabbitmq/blob/29b163923699c18c6d76a95df10ba52665ef8741/3.7/alpine/Dockerfile#L26-L27
https://github.com/docker-library/rabbitmq/blob/29b163923699c18c6d76a95df10ba52665ef8741/3.7/ubuntu/Dockerfile#L29-L30
https://github.com/docker-library/rabbitmq/blob/29b163923699c18c6d76a95df10ba52665ef8741/3.7-rc/alpine/Dockerfile#L26-L27
https://github.com/docker-library/rabbitmq/blob/29b163923699c18c6d76a95df10ba52665ef8741/3.7-rc/ubuntu/Dockerfile#L29-L30
https://github.com/docker-library/rabbitmq/blob/29b163923699c18c6d76a95df10ba52665ef8741/3.8/alpine/Dockerfile#L26-L27
https://github.com/docker-library/rabbitmq/blob/29b163923699c18c6d76a95df10ba52665ef8741/3.8/ubuntu/Dockerfile#L29-L30
https://github.com/docker-library/rabbitmq/blob/29b163923699c18c6d76a95df10ba52665ef8741/3.8-rc/alpine/Dockerfile#L26-L27
https://github.com/docker-library/rabbitmq/blob/29b163923699c18c6d76a95df10ba52665ef8741/3.8-rc/ubuntu/Dockerfile#L29-L30","26
29
26
29
26
29
26
29","27
30
27
30
27
30
27
30","# TODO add PGP checking when the feature will be added to Erlang/OTP's build system
# http://erlang.org/pipermail/erlang-questions/2019-January/097067.html","ENV OTP_SOURCE_SHA256=""12d628c2d0bdc0cf1f1ec56bd3c4da697510b25ab744d45872f63fefdd1a7680""
ENV OTP_SOURCE_SHA256=""4cf44ed12f657c309a2c00e7806f36f56a88e5b74de6814058796561f3842f66""
ENV OTP_SOURCE_SHA256=""4cf44ed12f657c309a2c00e7806f36f56a88e5b74de6814058796561f3842f66""
ENV OTP_SOURCE_SHA256=""25e9d9d4903701e4b86c60b68ac34b4a85f5a5bccfd55fa6a2345f70d84f3de8""
ENV OTP_SOURCE_SHA256=""25e9d9d4903701e4b86c60b68ac34b4a85f5a5bccfd55fa6a2345f70d84f3de8""
ENV OTP_SOURCE_SHA256=""25e9d9d4903701e4b86c60b68ac34b4a85f5a5bccfd55fa6a2345f70d84f3de8""
ENV OTP_SOURCE_SHA256=""25e9d9d4903701e4b86c60b68ac34b4a85f5a5bccfd55fa6a2345f70d84f3de8"""
18,docker-library/redis,"docker-library/redis/5.0/Dockerfile
docker-library/redis/5.0/32bit/Dockerfile
docker-library/redis/5.0/alpine/Dockerfile
docker-library/redis/6.0/Dockerfile
docker-library/redis/6.0/alpine/Dockerfile",9c9d49d25acd7428ea30669f0395506f4a7f78fc,"https://github.com/docker-library/redis/blob/9c9d49d25acd7428ea30669f0395506f4a7f78fc/5.0/Dockerfile#L66-L66
https://github.com/docker-library/redis/blob/9c9d49d25acd7428ea30669f0395506f4a7f78fc/5.0/32bit/Dockerfile#L66-L66
https://github.com/docker-library/redis/blob/9c9d49d25acd7428ea30669f0395506f4a7f78fc/5.0/alpine/Dockerfile#L47-L47
https://github.com/docker-library/redis/blob/9c9d49d25acd7428ea30669f0395506f4a7f78fc/6.0/Dockerfile#L68-L68
https://github.com/docker-library/redis/blob/9c9d49d25acd7428ea30669f0395506f4a7f78fc/6.0/alpine/Dockerfile#L48-L48","66
66
47
68
48","66
66
47
68
48","# TODO https://github.com/antirez/redis/pull/3494 (deduplicate ""redis-server"" copies)","	serverMd5=""$(md5sum /usr/local/bin/redis-server | cut -d' ' -f1)""; export serverMd5; \"
19,docker-library/ruby,"docker-library/ruby/2.5/alpine3.10/Dockerfile
docker-library/ruby/2.5/alpine3.11/Dockerfile
docker-library/ruby/2.5/buster/Dockerfile
docker-library/ruby/2.5/buster/slim/Dockerfile
docker-library/ruby/2.5/stretch/Dockerfile
docker-library/ruby/2.5/stretch/slim/Dockerfile
docker-library/ruby/2.6/alpine3.10/Dockerfile
docker-library/ruby/2.6/alpine3.11/Dockerfile
docker-library/ruby/2.6/buster/Dockerfile
docker-library/ruby/2.6/buster/slim/Dockerfile
docker-library/ruby/2.6/stretch/Dockerfile
docker-library/ruby/2.6/stretch/slim/Dockerfile
docker-library/ruby/2.7/alpine3.10/Dockerfile
docker-library/ruby/2.7/alpine3.11/Dockerfile
docker-library/ruby/2.7/buster/Dockerfile
docker-library/ruby/2.7/buster/slim/Dockerfile",a6b23d587aa4ce804f69b40d3fb48bc27c4a39db,"https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.5/alpine3.10/Dockerfile#L70-L71
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.5/alpine3.11/Dockerfile#L70-L71
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.5/buster/Dockerfile#L39-L40
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.5/buster/slim/Dockerfile#L65-L66
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.5/stretch/Dockerfile#L39-L40
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.5/stretch/slim/Dockerfile#L64-L65
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.6/alpine3.10/Dockerfile#L69-L70
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.6/alpine3.11/Dockerfile#L69-L70
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.6/buster/Dockerfile#L38-L39
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.6/buster/slim/Dockerfile#L64-L65
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.6/stretch/Dockerfile#L38-L39
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.6/stretch/slim/Dockerfile#L63-L64
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.7/alpine3.10/Dockerfile#L69-L70
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.7/alpine3.11/Dockerfile#L69-L70
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.7/buster/Dockerfile#L38-L39
https://github.com/docker-library/ruby/blob/a6b23d587aa4ce804f69b40d3fb48bc27c4a39db/2.7/buster/slim/Dockerfile#L64-L65","70
70
39
65
39
64
69
69
38
64
38
63
69
69
38
64","71
71
40
66
40
65
70
70
39
65
39
64
70
70
39
65","# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",	{ \
20,docker-library/tomcat,"docker-library/tomcat/10.0/jdk11/corretto/Dockerfile
docker-library/tomcat/10.0/jdk14/openjdk-oracle/Dockerfile
docker-library/tomcat/10.0/jdk8/corretto/Dockerfile
docker-library/tomcat/7/jdk8/corretto/Dockerfile
docker-library/tomcat/8.5/jdk11/corretto/Dockerfile
docker-library/tomcat/8.5/jdk14/openjdk-oracle/Dockerfile
docker-library/tomcat/8.5/jdk8/corretto/Dockerfile
docker-library/tomcat/9.0/jdk11/corretto/Dockerfile
docker-library/tomcat/9.0/jdk14/openjdk-oracle/Dockerfile
docker-library/tomcat/9.0/jdk8/corretto/Dockerfile",1838fdf7663a2e2d4bd426c1392e715c6b84fa5b,"https://github.com/docker-library/tomcat/blob/1838fdf7663a2e2d4bd426c1392e715c6b84fa5b/10.0/jdk11/corretto/Dockerfile#L28-L28
https://github.com/docker-library/tomcat/blob/1838fdf7663a2e2d4bd426c1392e715c6b84fa5b/10.0/jdk14/openjdk-oracle/Dockerfile#L28-L28
https://github.com/docker-library/tomcat/blob/1838fdf7663a2e2d4bd426c1392e715c6b84fa5b/10.0/jdk8/corretto/Dockerfile#L28-L28
https://github.com/docker-library/tomcat/blob/1838fdf7663a2e2d4bd426c1392e715c6b84fa5b/7/jdk8/corretto/Dockerfile#L28-L28
https://github.com/docker-library/tomcat/blob/1838fdf7663a2e2d4bd426c1392e715c6b84fa5b/8.5/jdk11/corretto/Dockerfile#L28-L28
https://github.com/docker-library/tomcat/blob/1838fdf7663a2e2d4bd426c1392e715c6b84fa5b/8.5/jdk14/openjdk-oracle/Dockerfile#L28-L28
https://github.com/docker-library/tomcat/blob/1838fdf7663a2e2d4bd426c1392e715c6b84fa5b/8.5/jdk8/corretto/Dockerfile#L28-L28
https://github.com/docker-library/tomcat/blob/1838fdf7663a2e2d4bd426c1392e715c6b84fa5b/9.0/jdk11/corretto/Dockerfile#L28-L28
https://github.com/docker-library/tomcat/blob/1838fdf7663a2e2d4bd426c1392e715c6b84fa5b/9.0/jdk14/openjdk-oracle/Dockerfile#L28-L28
https://github.com/docker-library/tomcat/blob/1838fdf7663a2e2d4bd426c1392e715c6b84fa5b/9.0/jdk8/corretto/Dockerfile#L28-L28","28
28
28
28
28
28
28
28
28
28","28
28
28
28
28
28
28
28
28
28","# TODO there's an odd bug on Oracle Linux where installing ""cpp"" (which gets pulled in as a dependency of ""gcc"") and then marking it as automatically-installed will result in the ""filesystem"" package being removed during ""yum autoremove"" (which then fails), so we set it as manually-installed to compensate",		yumdb set reason user filesystem; \
21,docker/compose,docker/compose/Dockerfile,d4baba057bd20962e40cdd66a075dc7d01eefc3b,https://github.com/docker/compose/blob/d4baba057bd20962e40cdd66a075dc7d01eefc3b/Dockerfile#L51-L51,51,51,"# FIXME(chris-crone): virtualenv 16.3.0 breaks build, force 16.2.0 until fixed",RUN pip install virtualenv==16.2.0
22,docker/docker,docker/docker/Dockerfile,07e6b843594e061f82baa5fa23c2ff7d536c2a05,https://github.com/docker/docker/blob/07e6b843594e061f82baa5fa23c2ff7d536c2a05/Dockerfile#L70-L72,70,72,"# Install go-swagger for validating swagger.yaml
# This is https://github.com/kolyshkin/go-swagger/tree/golang-1.13-fix
# TODO: move to under moby/ or fix upstream go-swagger to work for us.",ENV GO_SWAGGER_COMMIT 5e6cb12f7c82ce78e45ba71fa6cb1928094db050
23,docker/docker,docker/docker/Dockerfile,07e6b843594e061f82baa5fa23c2ff7d536c2a05,https://github.com/docker/docker/blob/07e6b843594e061f82baa5fa23c2ff7d536c2a05/Dockerfile#L241-L241,241,241,"# TODO: Some of this is only really needed for testing, it would be nice to split this up",FROM runtime-dev AS dev-systemd-false
24,docker/docker,docker/docker/Dockerfile,07e6b843594e061f82baa5fa23c2ff7d536c2a05,https://github.com/docker/docker/blob/07e6b843594e061f82baa5fa23c2ff7d536c2a05/Dockerfile#L284-L285,284,285,"# Switch to use iptables instead of nftables (to match the CI hosts)
# TODO use some kind of runtime auto-detection instead if/when nftables is supported (https://github.com/moby/moby/issues/26824)",RUN update-alternatives --set iptables  /usr/sbin/iptables-legacy  || true \
