,CommitID,Dockerfile,LatestDockerfile,Comment,Date,FirstCommit Date,Deleted Date,RenameList,DeletedComment Date,Deleted CommitID,Deleted Filename
23,b05d762e4fa8ff852649ed6673c5653d9bb18401,8.6/fpm/Dockerfile,8.8/fpm-buster/Dockerfile,# TODO switch to buster once https://github.com/docker-library/php/issues/865 is resolved in a clean way (either in the PHP image or in PHP itself),2019-07-19 20:49:23+00:00,2018-03-28 17:03:57-07:00,,8.6/fpm/Dockerfile,2020-07-16 16:48:16-07:00,71ffa1cde017936514d24d64127fb78956ea5c1b,8.8/fpm/Dockerfile
19,b05d762e4fa8ff852649ed6673c5653d9bb18401,8.6/apache/Dockerfile,8.8/apache-buster/Dockerfile,# TODO switch to buster once https://github.com/docker-library/php/issues/865 is resolved in a clean way (either in the PHP image or in PHP itself),2019-07-19 20:49:23+00:00,2017-08-04 21:07:16+08:00,,8.6/apache/Dockerfile,2020-07-16 16:48:16-07:00,71ffa1cde017936514d24d64127fb78956ea5c1b,8.8/apache/Dockerfile
21,b05d762e4fa8ff852649ed6673c5653d9bb18401,8.7/fpm/Dockerfile,8.9/apache-buster/Dockerfile,# TODO switch to buster once https://github.com/docker-library/php/issues/865 is resolved in a clean way (either in the PHP image or in PHP itself),2019-07-19 20:49:23+00:00,2017-02-02 12:15:40+08:00,,8.7/fpm/Dockerfile,2020-07-16 16:48:16-07:00,71ffa1cde017936514d24d64127fb78956ea5c1b,8.9/apache/Dockerfile
20,b05d762e4fa8ff852649ed6673c5653d9bb18401,8.7/apache/Dockerfile,8.9/fpm-buster/Dockerfile,# TODO switch to buster once https://github.com/docker-library/php/issues/865 is resolved in a clean way (either in the PHP image or in PHP itself),2019-07-19 20:49:23+00:00,2017-02-02 12:15:40+08:00,,8.7/apache/Dockerfile,2020-07-16 16:48:16-07:00,71ffa1cde017936514d24d64127fb78956ea5c1b,8.9/fpm/Dockerfile
22,b05d762e4fa8ff852649ed6673c5653d9bb18401,7/fpm/Dockerfile,7/fpm-buster/Dockerfile,# TODO switch to buster once https://github.com/docker-library/php/issues/865 is resolved in a clean way (either in the PHP image or in PHP itself),2019-07-19 20:49:23+00:00,2016-02-08 12:55:59-08:00,,7/fpm/Dockerfile,2020-07-16 16:48:16-07:00,71ffa1cde017936514d24d64127fb78956ea5c1b,7/fpm/Dockerfile
60,6440784240cfb19b860220e874a738b961577949,Dockerfile,7/apache-buster/Dockerfile,# TODO use this MD5,2015-04-14 23:20:33+00:00,2015-04-14 17:20:33-06:00,,Dockerfile,2019-07-19 20:49:23+00:00,b05d762e4fa8ff852649ed6673c5653d9bb18401,7/apache/Dockerfile
18,b05d762e4fa8ff852649ed6673c5653d9bb18401,7/apache/Dockerfile,7/apache-buster/Dockerfile,# TODO switch to buster once https://github.com/docker-library/php/issues/865 is resolved in a clean way (either in the PHP image or in PHP itself),2019-07-19 20:49:23+00:00,2015-04-14 17:20:33-06:00,,7/apache/Dockerfile,2020-07-16 16:48:16-07:00,71ffa1cde017936514d24d64127fb78956ea5c1b,7/apache/Dockerfile
