,CommitID,Dockerfile,LatestDockerfile,Comment,Date,FirstCommit Date,Deleted Date,RenameList,logIndex,DeletedComment Date,Deleted CommitID,Deleted Filename
1857,06192e37c6daec1d2f2a516c04c7bcc97174b1e2,2.4/alpine3.8/Dockerfile,2.4/alpine3.10/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2018-10-18 19:00:09+00:00,2018-10-19 06:00:09+11:00,2020-04-13 13:55:02-07:00,2.4/alpine3.8/Dockerfile,910,2020-04-13 20:55:02+00:00,96bcb37cc3207ed0f80e39d6471c3d3b37ed36e5,2.4/alpine3.10/Dockerfile
987,6959194971f4f84e9bef2976ae6b8a469fa58dae,2.5-rc/stretch/slim/Dockerfile,2.5/stretch/slim/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2017-10-24 04:33:02+00:00,2017-10-24 13:33:02+09:00,,2.5-rc/stretch/slim/Dockerfile,1470,,,
1329,b0c1b3c89142267912d8d0b532e206463c7d8ee0,2.7-rc/stretch/Dockerfile,2.7/buster/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2019-05-30 20:23:26+00:00,2019-05-30 13:23:26-07:00,,2.7-rc/stretch/Dockerfile,470,,,
524,3b767347867328b98aefa48e60de95b2190f631e,2.5/buster/slim/Dockerfile,2.5/buster/slim/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2019-07-10 16:33:20+00:00,2019-07-10 18:33:20+02:00,,2.5/buster/slim/Dockerfile,320,,,
527,3b767347867328b98aefa48e60de95b2190f631e,2.6/buster/Dockerfile,2.6/buster/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2019-07-10 16:33:20+00:00,2019-07-10 18:33:20+02:00,,2.6/buster/Dockerfile,320,,,
526,3b767347867328b98aefa48e60de95b2190f631e,2.6/buster/slim/Dockerfile,2.6/buster/slim/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2019-07-10 16:33:20+00:00,2019-07-10 18:33:20+02:00,,2.6/buster/slim/Dockerfile,320,,,
1347,defb10adcd6dd2178be3cd9c884fd035b52d42fb,2.7/alpine3.11/Dockerfile,2.7/alpine3.11/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2020-01-02 21:41:20+00:00,2020-01-02 13:41:20-08:00,,2.7/alpine3.11/Dockerfile,186,,,
525,3b767347867328b98aefa48e60de95b2190f631e,2.5/buster/Dockerfile,2.5/buster/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2019-07-10 16:33:20+00:00,2019-07-10 18:33:20+02:00,,2.5/buster/Dockerfile,320,,,
1878,bb5c7101e13cfa3632dfc21245b172c205d90353,2.3/alpine3.8/Dockerfile,2.3/alpine3.8/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2018-09-13 17:30:25+00:00,2018-09-13 10:30:25-07:00,2019-04-04 13:56:52-07:00,2.3/alpine3.8/Dockerfile,997,2019-04-04 20:56:52+00:00,4d1c8fac056bda0c876688d5caac31c01945b16a,2.3/alpine3.8/Dockerfile
1700,1f9102c4e5c9fb9842e09c3c50f6402ed583456a,2.3/stretch/Dockerfile,2.3/stretch/Dockerfile,"# hack in ""ENABLE_PATH_CHECK"" disabling to suppress:
#   warning: Insecure world writable dir",2018-01-26 22:31:57+00:00,2018-01-26 14:31:57-08:00,2019-04-04 13:56:52-07:00,2.3/stretch/Dockerfile,1293,2019-04-04 20:56:52+00:00,4d1c8fac056bda0c876688d5caac31c01945b16a,2.3/stretch/Dockerfile
