,CommitID,Dockerfile,LatestDockerfile,Comment,Date,FirstCommit Date,Deleted Date,RenameList,DeletedComment Date,Deleted CommitID
275,045fbbc0ac44b1db42ef8b499f2bef1db8dcfe61,18.04-rc/Dockerfile,18.05/Dockerfile,"# TODO ENV DOCKER_SHA256
# https://github.com/docker/docker-ce/blob/5b073ee2cf564edee5adca05eee574142f7627bb/components/packaging/static/hash_files !!
# (no SHA file artifacts on download.docker.com yet as of 2017-06-07 though)",2018-04-03 17:45:34+00:00,2018-04-03 10:45:34-07:00,2018-07-19 13:53:32-07:00,18.04-rc/Dockerfile,2018-07-19 13:53:32-07:00,4782798943949422d73ebc94407d277424afa58b
341,b4404c1aadf1a09b5216b27fb35499bdcfd4d77a,1.11-rc/dind/Dockerfile,1.11-rc/dind/Dockerfile,# TODO aufs-tools,2016-03-30 21:43:17+00:00,2016-03-30 14:43:17-07:00,2016-04-13 13:33:33-07:00,1.11-rc/dind/Dockerfile,2016-04-13 13:33:33-07:00,866c3fbd87e8eeed524fdf19ba2d63288ad49cd2
551,eb714a73e7e3f87705f468c3c6e9f4e316136bf5,1.12/experimental/dind/Dockerfile,1.12/experimental/dind/Dockerfile,# TODO aufs-tools,2016-08-22 19:06:09+00:00,2016-08-22 12:06:09-07:00,2017-03-02 12:45:15-08:00,1.12/experimental/dind/Dockerfile,2017-03-02 12:45:15-08:00,7f4839af5d789c9e8ab4fea4518f4271a55d1fb6
331,a98e0c42a96497670c36f4b2dcad2bcc81f18f35,1.6/dind/Dockerfile,1.6/dind/Dockerfile,# TODO aufs-tools,2015-08-06 19:54:26+00:00,2015-08-06 12:54:26-07:00,2015-08-21 20:24:16-07:00,1.6/dind/Dockerfile,2015-08-21 20:24:16-07:00,10835a2d936bb711d451de63b27c780a9f9a84e3
412,56215ac49d9947e317154fad823410df1201089b,17.05-rc/dind/Dockerfile,17.05-rc/dind/Dockerfile,# TODO aufs-tools,2017-04-13 17:58:36+00:00,2017-04-13 10:58:36-07:00,2017-05-05 13:28:03-07:00,17.05-rc/dind/Dockerfile,2017-05-05 13:28:03-07:00,204d4a14dc52583985ce4c3ceb446a161fa9ed71
438,dba6c6279614ac0a7e520f0b7f7c027250488a4f,1.12-rc/experimental/dind/Dockerfile,1.12-rc/experimental/dind/Dockerfile,# TODO aufs-tools,2016-09-28 20:18:31+00:00,2016-09-28 13:18:31-07:00,2016-10-11 16:54:16-07:00,1.12-rc/experimental/dind/Dockerfile,2016-10-11 16:54:16-07:00,a7fc73eef011c47cc2518149bc77a4b9bc7f9f41
507,8de8842b2fffc6bb43609c133b54207ffb7b4ce2,18.01-rc/dind/Dockerfile,18.01/dind/Dockerfile,# TODO aufs-tools,2018-01-04 19:48:10+00:00,2018-01-04 11:48:10-08:00,2018-02-08 09:29:32-08:00,18.01-rc/dind/Dockerfile,2018-02-08 09:29:32-08:00,157869f94ea90e2acb4d0f77045d99079ead821c
560,5c4db83ebdc26e4303fc3a6adf916367d440eea2,1.8-rc/dind/Dockerfile,1.8-rc/dind/Dockerfile,# TODO aufs-tools,2015-09-03 21:10:42+00:00,2015-09-03 14:10:42-07:00,2015-09-10 12:56:19-07:00,1.8-rc/dind/Dockerfile,2015-09-10 12:56:19-07:00,bb15fc25bbd4f51a880cf02f91eab447b1083b75
573,8ada62f762b30d09fd54664710c0ef3b64038f07,17.10-rc/dind/Dockerfile,17.10-rc/dind/Dockerfile,# TODO aufs-tools,2017-10-05 16:38:01+00:00,2017-10-05 09:38:01-07:00,2017-10-18 09:49:43-07:00,17.10-rc/dind/Dockerfile,2017-10-18 09:49:43-07:00,62a456489acfe7443d426cd502ccf22130d1ccf9
577,e9c09260bfaea5199c6c053a83fc46564aa14990,17.04-rc/dind/Dockerfile,17.04-rc/dind/Dockerfile,# TODO aufs-tools,2017-03-22 18:11:47+00:00,2017-03-22 11:11:47-07:00,2017-04-06 09:34:03-07:00,17.04-rc/dind/Dockerfile,2017-04-06 09:34:03-07:00,a91872c478a6e8644a390d4129f2ea5a65d926ef
622,945f73423dd843ee587567712b6657d5780307da,1.10-rc/dind/Dockerfile,1.10-rc/dind/Dockerfile,# TODO aufs-tools,2016-01-15 21:50:42+00:00,2016-01-15 13:50:42-08:00,2016-02-22 16:28:44-08:00,1.10-rc/dind/Dockerfile,2016-02-22 16:28:44-08:00,8d8a46bbe4c018a262df473d844d548689787d6e
