,CommitID,Dockerfile,LatestDockerfile,Comment,Date,FirstCommit Date,Deleted Date,RenameList,logIndex,DeletedComment Date,Deleted CommitID,Deleted Filename
370,019e3dafeac4116b4547194b6452de9de76610dd,docker-master/Dockerfile,docker-master/Dockerfile,"# set up nsswitch.conf for Go's ""netgo"" implementation (which Docker explicitly uses)
# - https://github.com/docker/docker-ce/blob/v17.09.0-ce/components/engine/hack/make.sh#L149
# - https://github.com/golang/go/blob/go1.9.1/src/net/conf.go#L194-L275
# - docker run --rm debian:stretch grep '^hosts:' /etc/nsswitch.conf",2018-05-29 17:40:50+00:00,2015-08-27 15:47:39-07:00,,docker-master/Dockerfile,975,,,
352,02042c331baf96a01030574465fdb4f519108e06,qemu/Dockerfile,qemu/Dockerfile,# TODO verify signature,2017-12-18 21:21:01+00:00,2014-09-20 01:00:11-06:00,2019-01-17 14:42:19-08:00,qemu/Dockerfile,1203,2019-01-17 14:42:19-08:00,c633e15ce972b190d7c09500ecc2a054c603abe9,qemu/Dockerfile
416,f84280ef47393b585e38e86994de77d605f11028,containerd/Dockerfile,containerd/Dockerfile,# TODO .asc / .sha256sum,2020-03-26 23:17:35+00:00,2020-03-26 16:17:35-07:00,,containerd/Dockerfile,157,,,
160,df966bd85ec8ee2d918eef64d6a93eeee3cf4930,docker/master/dind/Dockerfile,docker-master/dind/Dockerfile,# TODO aufs-tools,2015-08-27 22:47:39+00:00,2015-08-27 15:47:39-07:00,,docker/master/dind/Dockerfile,2805,,,
369,019e3dafeac4116b4547194b6452de9de76610dd,docker-master/dind/Dockerfile,docker-master/dind/Dockerfile,# https://github.com/docker/docker/tree/master/hack/dind,2018-05-29 17:40:50+00:00,2015-08-27 15:47:39-07:00,,docker-master/dind/Dockerfile,975,,,
26,2e37f527a42e05e8b9e62a84ec34355edae69e47,ruby-passenger/Dockerfile,ruby-passenger/Dockerfile,"# TODO find a clean way to do this here in such a way that gems like rmagick can install cleanly without first installing libmagickcore-dev
#ONBUILD ADD Gemfile /apps/rails/Gemfile
#ONBUILD ADD Gemfile.lock /apps/rails/Gemfile.lock
#ONBUILD RUN cd /apps/rails && bundle install --deployment
#ONBUILD ADD . /apps/rails
#ONBUILD RUN chown -R www-data:www-data /apps/rails",2014-03-28 23:19:41+00:00,2014-03-28 17:19:41-06:00,2019-09-13 14:33:46-07:00,ruby-passenger/Dockerfile,2996,2014-10-21 10:38:47-06:00,d6d435479900274e105bdfdf2792c26c989f05f6,ruby-passenger/Dockerfile
338,6f3b2ee0f98d1abde53cf49b7bb47bba0e466cfd,ruby-unicorn/Dockerfile,ruby-unicorn/Dockerfile,"# TODO find a clean way to do this here in such a way that gems like rmagick can install cleanly without first installing libmagickcore-dev
#ONBUILD ADD Gemfile /apps/rails/Gemfile
#ONBUILD ADD Gemfile.lock /apps/rails/Gemfile.lock
#ONBUILD RUN bundle install --deployment
#ONBUILD ADD . /apps/rails",2014-03-28 23:29:46+00:00,2014-03-28 17:29:46-06:00,2019-09-13 14:33:46-07:00,ruby-unicorn/Dockerfile,2995,2019-09-13 14:33:46-07:00,bb4f81ea0d9cc38a3e225e77c05a13e9208c795a,ruby-unicorn/Dockerfile
161,df966bd85ec8ee2d918eef64d6a93eeee3cf4930,docker/experimental/dind/Dockerfile,docker/experimental/dind/Dockerfile,# TODO aufs-tools,2015-08-27 22:47:39+00:00,2015-08-27 15:47:39-07:00,2016-11-12 08:12:05-08:00,docker/experimental/dind/Dockerfile,2805,2016-11-12 08:12:05-08:00,02f055e7536c19be37d5e356470520c80e0620a7,docker/experimental/dind/Dockerfile
124,277a6c9db8301713bf30afa54baff18635fef604,network-toolbox/alpine/Dockerfile,network-toolbox/alpine/Dockerfile,"# TODO add ""nbtscan"" when we get to Alpine 3.9 (if it makes it out of edge for 3.9)",2018-07-04 01:52:06+00:00,2016-09-07 14:32:53-07:00,,network-toolbox/alpine/Dockerfile,927,2019-04-23 20:58:51+00:00,4bc9e1a50ee138a12cef4333288ef4d8a1c16344,network-toolbox/alpine/Dockerfile
438,4bc9e1a50ee138a12cef4333288ef4d8a1c16344,network-toolbox/alpine/Dockerfile,network-toolbox/alpine/Dockerfile,"# TODO add ""nbtscan"" when we get to Alpine 3.10 (if it makes it out of edge for 3.10)",2019-04-23 20:58:51+00:00,2016-09-07 14:32:53-07:00,,network-toolbox/alpine/Dockerfile,530,2019-07-03 06:24:46+00:00,b6144573262026530b06e311ac1b62e3081e4ecb,network-toolbox/alpine/Dockerfile
417,b6144573262026530b06e311ac1b62e3081e4ecb,network-toolbox/alpine/Dockerfile,network-toolbox/alpine/Dockerfile,"# TODO add ""nbtscan"" when we get to Alpine 3.11 (if it makes it out of edge)
# https://pkgs.alpinelinux.org/packages?name=nbtscan&branch=edge&arch=x86_64",2019-07-03 06:24:46+00:00,2016-09-07 14:32:53-07:00,,network-toolbox/alpine/Dockerfile,404,2020-02-15 01:49:09+00:00,ddf64adf1a6c26d5adf9c8fa1c895d01da9834ca,network-toolbox/alpine/Dockerfile
350,ddf64adf1a6c26d5adf9c8fa1c895d01da9834ca,network-toolbox/alpine/Dockerfile,network-toolbox/alpine/Dockerfile,"# TODO add ""nbtscan"" when we get to Alpine 3.12 (if it makes it out of edge)
# https://pkgs.alpinelinux.org/packages?name=nbtscan&branch=edge&arch=x86_64",2020-02-15 01:49:09+00:00,2016-09-07 14:32:53-07:00,,network-toolbox/alpine/Dockerfile,191,,,
513,16243eae94d9f611d158fb2dc03a0393630c47cc,speedtest/Dockerfile,speedtest/Dockerfile,"# TODO verify that ookla's ""armhf"" really is armv6",2020-04-29 23:18:08+00:00,2014-07-11 19:24:12-06:00,,speedtest/Dockerfile,130,2020-09-14 09:31:16-07:00,52ad7a1e45f4f92477692d5f2982af599fdc5f7e,speedtest/Dockerfile
514,16243eae94d9f611d158fb2dc03a0393630c47cc,speedtest/Dockerfile,speedtest/Dockerfile,"# TODO figure out what ookla means by their bare ""arm"" arch",2020-04-29 23:18:08+00:00,2014-07-11 19:24:12-06:00,,speedtest/Dockerfile,130,2020-09-14 09:31:16-07:00,52ad7a1e45f4f92477692d5f2982af599fdc5f7e,speedtest/Dockerfile
293,03c351859fd6a80d65ee4a35a4bb71d7510a6041,nylas/sync-engine/Dockerfile,nylas/sync-engine/Dockerfile, # TODO inbox-api or inbox-start,2016-01-28 23:18:37+00:00,2016-01-28 15:18:37-08:00,2019-06-24 21:10:32-07:00,nylas/sync-engine/Dockerfile,2390,2019-06-24 21:10:32-07:00,a7893ff62f7951e2040665565bcf34fce213cde5,nylas/sync-engine/Dockerfile
80,8cfd903d3f1ffc976206ff75dab4dbfcd5274ca4,makemkv/Dockerfile,makemkv/Dockerfile,# TODO find some way to include ccextractor (currently buster-only),2018-12-26 05:52:42+00:00,2017-04-01 23:54:17-07:00,,makemkv/Dockerfile,679,2019-08-05 16:08:53-07:00,3839f20948900084dfb766ca6bf34bed458af812,makemkv/Dockerfile
83,41fba5a095a778acf05150e538b08246b9354f8f,zoom/Dockerfile,zoom/Dockerfile,"# TODO copy/steal ""browser.sh"" stuff from slack",2020-09-09 17:13:43+00:00,2020-09-09 10:13:43-07:00,,zoom/Dockerfile,8,,,
257,a5d820803f01e2582d45be1b00a2808ede979951,xen-orchestra/Dockerfile,xen-orchestra/Dockerfile,# TODO use links to get a redis server/database instead (since that's where configuration actually goes),2013-11-02 05:34:48+00:00,2013-11-01 23:34:48-06:00,,xen-orchestra/Dockerfile,3078,2014-06-16 17:38:17-06:00,a9323cfaaa5f50ad3c2ab16fb96f98d2e8a237eb,xen-orchestra/Dockerfile
258,a5d820803f01e2582d45be1b00a2808ede979951,xen-orchestra/Dockerfile,xen-orchestra/Dockerfile,# TODO see note above about redis,2013-11-02 05:34:48+00:00,2013-11-01 23:34:48-06:00,,xen-orchestra/Dockerfile,3078,2014-06-16 17:38:17-06:00,a9323cfaaa5f50ad3c2ab16fb96f98d2e8a237eb,xen-orchestra/Dockerfile
517,2733bf5befe88d52b6e4126956499f97441871a6,docker-tianon/Dockerfile,docker-tianon/Dockerfile,"# https://github.com/docker/docker/tree/master/hack/dind
#ENV DIND_COMMIT 130b0bc6032cc675d064e1cc62626cacc9c07a57",2020-04-18 17:20:29+00:00,2017-09-18 10:59:13-07:00,,docker-tianon/Dockerfile,138,,,
518,2733bf5befe88d52b6e4126956499f97441871a6,docker-tianon/Dockerfile,docker-tianon/Dockerfile,"#RUN set -eux; \
#	wget -O /usr/local/bin/dind ""https://raw.githubusercontent.com/docker/docker/${DIND_COMMIT}/hack/dind""; \
#	chmod +x /usr/local/bin/dind",2020-04-18 17:20:29+00:00,2017-09-18 10:59:13-07:00,,docker-tianon/Dockerfile,138,,,
151,4651c8e65b80e0acc3d2f7df2de980ee28a03c7a,familysearch-indexing/Dockerfile,familysearch-indexing/Dockerfile,# TODO add a very lightweight browser for opening help and/or registration,2014-02-23 06:47:56+00:00,2014-02-22 23:47:56-07:00,2019-08-01 22:48:18-07:00,familysearch-indexing/Dockerfile,3010,2019-08-01 22:48:18-07:00,13ddc43d57fb5cfa49eba6358ffa2ef131de38ec,familysearch-indexing/Dockerfile
