,CommitID,Dockerfile,LatestDockerfile,Comment,Date,FirstCommit Date,Deleted Date,RenameList,DeletedComment Date,Deleted CommitID
236,58c79694a83a12077150ad57b8dd46296548b958,9.0/jdk11/corretto/Dockerfile,9.0/jdk11/corretto/Dockerfile,"# TODO should we leave these installed, or remove them too?
",2019-06-25 00:08:20+00:00,2019-06-24 17:08:20-07:00,,9.0/jdk11/corretto/Dockerfile,2019-07-02 21:41:34+00:00,ee7ff91af066dc7df9d88e3cb842c40f0b6d164b
237,58c79694a83a12077150ad57b8dd46296548b958,9.0/jdk11/corretto/Dockerfile,9.0/jdk11/corretto/Dockerfile,"# http://yum.baseurl.org/wiki/YumDB.html (updating ""reason"" to ""user"" for tomcat-native build dependencies)
# TODO find a better/cleaner way to generically interact with the yumdb for the purposes of marking things as automatically/manually installed
",2019-06-25 00:08:20+00:00,2019-06-24 17:08:20-07:00,,9.0/jdk11/corretto/Dockerfile,2019-07-02 21:41:34+00:00,ee7ff91af066dc7df9d88e3cb842c40f0b6d164b
238,58c79694a83a12077150ad57b8dd46296548b958,9.0/jdk11/corretto/Dockerfile,9.0/jdk11/corretto/Dockerfile,"# TODO handle ""$nativeBuildDeps"" in a similarly generic way?
",2019-06-25 00:08:20+00:00,2019-06-24 17:08:20-07:00,,9.0/jdk11/corretto/Dockerfile,2019-07-02 21:41:34+00:00,ee7ff91af066dc7df9d88e3cb842c40f0b6d164b
40,ee7ff91af066dc7df9d88e3cb842c40f0b6d164b,9.0/jdk11/corretto/Dockerfile,9.0/jdk11/corretto/Dockerfile,"# TODO there's an odd bug on Oracle Linux where installing ""cpp"" (which gets pulled in as a dependency of ""gcc"") and then marking it as automatically-installed will result in the ""filesystem"" package being removed during ""yum autoremove"" (which then fails), so we set it as manually-installed to compensate
",2019-07-02 21:41:34+00:00,2019-06-24 17:08:20-07:00,,9.0/jdk11/corretto/Dockerfile,,
226,58c79694a83a12077150ad57b8dd46296548b958,8.5/jdk8/corretto/Dockerfile,8.5/jdk8/corretto/Dockerfile,"# TODO handle ""$nativeBuildDeps"" in a similarly generic way?
",2019-06-25 00:08:20+00:00,2019-06-24 17:08:20-07:00,,8.5/jdk8/corretto/Dockerfile,2019-07-02 21:41:34+00:00,ee7ff91af066dc7df9d88e3cb842c40f0b6d164b
225,58c79694a83a12077150ad57b8dd46296548b958,8.5/jdk8/corretto/Dockerfile,8.5/jdk8/corretto/Dockerfile,"# http://yum.baseurl.org/wiki/YumDB.html (updating ""reason"" to ""user"" for tomcat-native build dependencies)
# TODO find a better/cleaner way to generically interact with the yumdb for the purposes of marking things as automatically/manually installed
",2019-06-25 00:08:20+00:00,2019-06-24 17:08:20-07:00,,8.5/jdk8/corretto/Dockerfile,2019-07-02 21:41:34+00:00,ee7ff91af066dc7df9d88e3cb842c40f0b6d164b
224,58c79694a83a12077150ad57b8dd46296548b958,8.5/jdk8/corretto/Dockerfile,8.5/jdk8/corretto/Dockerfile,"# TODO should we leave these installed, or remove them too?
",2019-06-25 00:08:20+00:00,2019-06-24 17:08:20-07:00,,8.5/jdk8/corretto/Dockerfile,2019-07-02 21:41:34+00:00,ee7ff91af066dc7df9d88e3cb842c40f0b6d164b
47,ee7ff91af066dc7df9d88e3cb842c40f0b6d164b,8.5/jdk8/corretto/Dockerfile,8.5/jdk8/corretto/Dockerfile,"# TODO there's an odd bug on Oracle Linux where installing ""cpp"" (which gets pulled in as a dependency of ""gcc"") and then marking it as automatically-installed will result in the ""filesystem"" package being removed during ""yum autoremove"" (which then fails), so we set it as manually-installed to compensate
",2019-07-02 21:41:34+00:00,2019-06-24 17:08:20-07:00,,8.5/jdk8/corretto/Dockerfile,,
147,8aed00cdb1a1f1496895784e80f239079dcee411,10.0/jdk14/openjdk-oracle/Dockerfile,10.0/jdk14/openjdk-oraclelinux7/Dockerfile,"# TODO there's an odd bug on Oracle Linux where installing ""cpp"" (which gets pulled in as a dependency of ""gcc"") and then marking it as automatically-installed will result in the ""filesystem"" package being removed during ""yum autoremove"" (which then fails), so we set it as manually-installed to compensate
",2020-04-23 00:23:58+00:00,2020-04-22 17:23:58-07:00,,10.0/jdk14/openjdk-oracle/Dockerfile,,
145,8aed00cdb1a1f1496895784e80f239079dcee411,10.0/jdk8/corretto/Dockerfile,10.0/jdk8/corretto/Dockerfile,"# TODO there's an odd bug on Oracle Linux where installing ""cpp"" (which gets pulled in as a dependency of ""gcc"") and then marking it as automatically-installed will result in the ""filesystem"" package being removed during ""yum autoremove"" (which then fails), so we set it as manually-installed to compensate
",2020-04-23 00:23:58+00:00,2020-04-22 17:23:58-07:00,,10.0/jdk8/corretto/Dockerfile,,
146,8aed00cdb1a1f1496895784e80f239079dcee411,10.0/jdk11/corretto/Dockerfile,10.0/jdk11/corretto/Dockerfile,"# TODO there's an odd bug on Oracle Linux where installing ""cpp"" (which gets pulled in as a dependency of ""gcc"") and then marking it as automatically-installed will result in the ""filesystem"" package being removed during ""yum autoremove"" (which then fails), so we set it as manually-installed to compensate
",2020-04-23 00:23:58+00:00,2020-04-22 17:23:58-07:00,,10.0/jdk11/corretto/Dockerfile,,
24,ec75141e3cb6276b07d66c16042152e2d4de119c,8.5/jre8/Dockerfile,8.5/jdk11/openjdk-buster/Dockerfile,"# http://tomcat.10.x6.nabble.com/VOTE-Release-Apache-Tomcat-8-0-32-tp5046007p5048274.html (ie, HACK HACK HACK)
",2016-04-22 20:22:16+00:00,2016-04-01 09:43:39-07:00,,8.5/jre8/Dockerfile,2016-05-16 17:10:20-07:00,d08341e2ed934abd7ff1baa0c26d6eac4f45f73a
25,ec75141e3cb6276b07d66c16042152e2d4de119c,9.0/jre8/Dockerfile,9.0/jdk11/openjdk-buster/Dockerfile,"# http://tomcat.10.x6.nabble.com/VOTE-Release-Apache-Tomcat-8-0-32-tp5046007p5048274.html (ie, HACK HACK HACK)
",2016-04-22 20:22:16+00:00,2016-04-01 11:02:19-07:00,,9.0/jre8/Dockerfile,2016-05-16 17:10:20-07:00,d08341e2ed934abd7ff1baa0c26d6eac4f45f73a
26,ec75141e3cb6276b07d66c16042152e2d4de119c,8.0/jre8/Dockerfile,9.0/jdk8/openjdk-buster/Dockerfile,"# http://tomcat.10.x6.nabble.com/VOTE-Release-Apache-Tomcat-8-0-32-tp5046007p5048274.html (ie, HACK HACK HACK)
",2016-04-22 20:22:16+00:00,2014-11-20 14:04:23-08:00,,8.0/jre8/Dockerfile,2016-05-16 17:10:20-07:00,d08341e2ed934abd7ff1baa0c26d6eac4f45f73a
27,ec75141e3cb6276b07d66c16042152e2d4de119c,8.0/jre7/Dockerfile,8.5/jdk8/openjdk-slim-buster/Dockerfile,"# http://tomcat.10.x6.nabble.com/VOTE-Release-Apache-Tomcat-8-0-32-tp5046007p5048274.html (ie, HACK HACK HACK)
",2016-04-22 20:22:16+00:00,2014-10-22 16:32:42-07:00,,8.0/jre7/Dockerfile,2016-05-16 17:10:20-07:00,d08341e2ed934abd7ff1baa0c26d6eac4f45f73a
