,CommitID,Dockerfiles,LatestDockerfile,Comments,Date,FirstCommit Date,Deleted Date,isSATD,DeletedComment Date
4,b478a76cdfe3c01623a7c671db01a260e3cb599b,Dockerfile.csi-sanity,Dockerfile.csi-sanity,"# other csi-sanity options: --ginkgo.v -ginkgo.noColor
#TODO remove ""--ginkgo.skip"" option after fixing volume paginatin by token:
",Wed Feb 12 09:48:05 2020 -0800,Tue Nov 27 18:14:20 2018 -0800,,1,Wed Feb 12 09:48:05 2020 -0800
1,b99c6dfd96570909122af1351ed0b1a472176493,Dockerfile.csi-sanity,Dockerfile.csi-sanity,"# other csi-sanity options: --ginkgo.v -ginkgo.noColor
#TODO remove ""--ginkgo.skip"" option after switching from v2.0.1 to the next release,
# after releasing this https://github.com/kubernetes-csi/csi-test/pull/205/files
",Thu Jul 18 15:50:37 2019 -0700,Tue Nov 27 18:14:20 2018 -0800,,1,Wed Feb 12 09:48:05 2020 -0800
