,CommitID,Dockerfile,LatestDockerfile,Comment,Date,FirstCommit Date,Deleted Date,RenameList,DeletedComment Date,Deleted CommitID,Deleted Filename
12,8d7d53f701331936ae654fff0249ccf872e5de44,0.8.3/Dockerfile,0.X/Dockerfile,"# By default you'll get a single-node development server that stores everything
# in RAM and bootstraps itself. Don't use this configuration for production.",2017-09-19 16:09:23+00:00,2017-09-19 11:09:23-05:00,,0.8.3/Dockerfile,,,
29,9b8dfaaf3738b16b4b2afbbdbc41f3419986b394,0.7.2/Dockerfile,0.7.2/Dockerfile,"# By default you'll get a single-node development server that stores everything
# in RAM and bootstraps itself. Don't use this configuration for production.",2017-05-15 15:26:49+00:00,2017-05-15 11:26:49-04:00,2017-10-05 12:40:42-04:00,0.7.2/Dockerfile,2017-10-05 12:40:42-04:00,6e237e86fe245488d54a448b49eaf63d9a4faa71,0.7.2/Dockerfile
109,b95f1b3f7b1df5652ca7e226bc8ede55520cc89f,0.6/Dockerfile,0.6/Dockerfile,"# By default you'll get a single-node development server that stores everything
# in RAM, exposes a web UI, and bootstraps itself. Don't use this configuration
# for production.",2016-01-29 19:18:14+00:00,2016-01-29 11:18:14-08:00,2017-10-05 12:40:42-04:00,0.6/Dockerfile,2016-07-05 20:54:40+00:00,38c20af56a8d3d340a2392dd5ad11cdd51760bc4,0.6/Dockerfile
57,38c20af56a8d3d340a2392dd5ad11cdd51760bc4,0.6/Dockerfile,0.6/Dockerfile,"# By default you'll get a single-node development server that stores everything
# in RAM and bootstraps itself. Don't use this configuration for production.",2016-07-05 20:54:40+00:00,2016-01-29 11:18:14-08:00,2017-10-05 12:40:42-04:00,0.6/Dockerfile,2017-10-05 12:40:42-04:00,6e237e86fe245488d54a448b49eaf63d9a4faa71,0.6/Dockerfile
116,70ec3a24d5f8bc77291f5367ef487303f9716d33,0.7.3/Dockerfile,0.7.3/Dockerfile,"# By default you'll get a single-node development server that stores everything
# in RAM and bootstraps itself. Don't use this configuration for production.",2017-06-07 20:15:21+00:00,2017-06-07 16:15:21-04:00,2017-10-05 12:40:42-04:00,0.7.3/Dockerfile,2017-10-05 12:40:42-04:00,6e237e86fe245488d54a448b49eaf63d9a4faa71,0.7.3/Dockerfile
75,67f88c6cea8da71a9803a401e7a7c950dd884b02,0.7.0/Dockerfile,0.7.0/Dockerfile,"# By default you'll get a single-node development server that stores everything
# in RAM and bootstraps itself. Don't use this configuration for production.",2017-03-28 14:33:23+00:00,2017-03-28 16:33:23+02:00,2017-10-05 12:40:42-04:00,0.7.0/Dockerfile,2017-10-05 12:40:42-04:00,6e237e86fe245488d54a448b49eaf63d9a4faa71,0.7.0/Dockerfile
27,638047d80dc87b97f7bda67c758f54b2826959ce,0.8.0-rc1/Dockerfile,0.8.0-rc1/Dockerfile,"# By default you'll get a single-node development server that stores everything
# in RAM and bootstraps itself. Don't use this configuration for production.",2017-08-03 19:16:28+00:00,2017-08-03 15:16:28-04:00,2017-10-05 12:40:42-04:00,0.8.0-rc1/Dockerfile,2017-10-05 12:40:42-04:00,6e237e86fe245488d54a448b49eaf63d9a4faa71,0.8.0-rc1/Dockerfile
34,c087a27b5ec93445e89dc46f25af973f114f1399,0.6.5/Dockerfile,0.6.5/Dockerfile,"# By default you'll get a single-node development server that stores everything
# in RAM and bootstraps itself. Don't use this configuration for production.",2017-02-08 02:01:08+00:00,2017-02-07 21:01:08-05:00,2017-10-05 12:40:42-04:00,0.6.5/Dockerfile,2017-10-05 12:40:42-04:00,6e237e86fe245488d54a448b49eaf63d9a4faa71,0.6.5/Dockerfile
79,3d3957180d689ecddb537aa799a878171280e8a3,0.6.2/Dockerfile,0.6.2/Dockerfile,"# By default you'll get a single-node development server that stores everything
# in RAM and bootstraps itself. Don't use this configuration for production.",2016-10-05 20:37:26+00:00,2016-10-05 16:37:26-04:00,2017-10-05 12:40:42-04:00,0.6.2/Dockerfile,2017-10-05 12:40:42-04:00,6e237e86fe245488d54a448b49eaf63d9a4faa71,0.6.2/Dockerfile
70,b480db2b90dd4190c3ce4e8588624ed426fd7dea,0.6.3/Dockerfile,0.6.3/Dockerfile,"# By default you'll get a single-node development server that stores everything
# in RAM and bootstraps itself. Don't use this configuration for production.",2016-12-05 16:35:56+00:00,2016-12-05 11:35:56-05:00,2017-10-05 12:40:42-04:00,0.6.3/Dockerfile,2017-10-05 12:40:42-04:00,6e237e86fe245488d54a448b49eaf63d9a4faa71,0.6.3/Dockerfile
53,296309e4e40be197e89b9f063463fe02c4c5c3e2,0.6.1/Dockerfile,0.6.1/Dockerfile,"# By default you'll get a single-node development server that stores everything
# in RAM and bootstraps itself. Don't use this configuration for production.",2016-08-20 19:50:16+00:00,2016-08-20 15:50:16-04:00,2017-10-05 12:40:42-04:00,0.6.1/Dockerfile,2017-10-05 12:40:42-04:00,6e237e86fe245488d54a448b49eaf63d9a4faa71,0.6.1/Dockerfile
