,CommitID,Dockerfiles,LatestDockerfile,Comments,Date,FirstCommit Date,Deleted Date,isSATD,DeletedComment Date
35,dbdd5294d5172438253ed6b5793b26e26ef30eb5,alpine/Dockerfile,2.0/alpine/Dockerfile,"# TODO: alter filename after v2 relese (version will be taken out of name)
",2020-03-11 01:24:28+00:00,Fri Oct 18 22:34:32 2019 +0200,Sat Jun 27 13:37:51 2020 -0400,1,2020-03-15 12:37:09+00:00
47,e57e714a75e86e3ba872b0d3885056155f25a237,alpine/Dockerfile,2.0/alpine/Dockerfile,"# TODO: alter filename after v2 release (version will be taken out of name)
",2020-03-15 11:54:24+00:00,Fri Oct 18 22:34:32 2019 +0200,Sat Jun 27 13:37:51 2020 -0400,1,Sat Jun 27 13:37:51 2020 -0400
33,dbdd5294d5172438253ed6b5793b26e26ef30eb5,Dockerfile.tmpl,Dockerfile.tmpl,/** TODO: support other architectures here **/,2020-03-11 01:24:28+00:00,Tue Feb 4 20:08:29 2020 -0500,,1,
31,dbdd5294d5172438253ed6b5793b26e26ef30eb5,Dockerfile.tmpl,Dockerfile.tmpl,"# TODO: alter filename after v2 relese (version will be taken out of name)
",2020-03-11 01:24:28+00:00,Tue Feb 4 20:08:29 2020 -0500,,1,2020-03-15 12:37:09+00:00
43,e57e714a75e86e3ba872b0d3885056155f25a237,Dockerfile.tmpl,Dockerfile.tmpl,"# TODO: alter filename after v2 release (version will be taken out of name)
",2020-03-15 11:54:24+00:00,Tue Feb 4 20:08:29 2020 -0500,,1,
