,CommitID,Dockerfile,LatestDockerfile,Comment,Date,FirstCommit Date,Deleted Date,isSATD,DeletedComment Date,Deleted CommitID
683,79c023e0fb6c24d77c9c06a4bb34b5247565e0fb,.docker/Dockerfile.rhel,.docker/Dockerfile.rhel,"# This is ugly... But for some reason npm and node aren't available at this stage.
",2018-04-10 20:09:23+00:00,2018-04-10 15:09:23-05:00,,1,,
235,52439de994dcaac75645f39645dd68bc7e1c21b9,.docker/Dockerfile.rhel,.docker/Dockerfile.rhel,"# Hack needed to force use of bundled library instead of system level outdated library
# https://github.com/lovell/sharp/issues/892
",2018-07-18 19:37:27+00:00,2018-04-10 15:09:23-05:00,,1,,
