,CommitID,Dockerfile,LatestDockerfile,Comment,Date,FirstCommit Date,Deleted Date,RenameList,DeletedComment Date,Deleted CommitID,Deleted Filename
54,8a4f6c9cb035044358072c465e41b4b8993731e7,2018.0/7.2/Dockerfile,2018.0/7.2/Dockerfile,"#Copy Zray docker plugin
#TODO: Integrate Zray docker plugin into Zend Server",2018-06-18 09:44:14+00:00,2018-06-18 12:44:14+03:00,2020-03-19 12:57:53+02:00,2018.0/7.2/Dockerfile,2020-03-19 12:57:53+02:00,39f76ed09504e8d29bd90d9cfab7e5b8025d834a,2018.0/7.2/Dockerfile
15,e5b879923a6ffd5c342adc77a8c67361a4b38ebf,9.1/7.1/Dockerfile,9.1/7.1/Dockerfile,"#Copy Zray docker plugin
#TODO: Integrate Zray docker plugin into Zend Server",2018-01-18 13:53:15+00:00,2017-04-13 16:52:39+03:00,,9.1/7.1/Dockerfile,,,
51,82bba8cc44febcc6d7f31e25373fd323a1b54bfc,8.5/5.6/Dockerfile,8.5/5.6/Dockerfile,# TODO:,2015-10-11 10:18:27+00:00,2015-10-11 13:18:27+03:00,,8.5/5.6/Dockerfile,2019-04-24 11:47:59+00:00,cdbc844cac75163cb4880aed38bbfcc7473b4029,8.5/5.6/Dockerfile
2,cdbc844cac75163cb4880aed38bbfcc7473b4029,8.5/5.6/Dockerfile,8.5/5.6/Dockerfile,"#Copy Zray docker plugin
#TODO: Integrate Zray docker plugin into Zend Server",2019-04-24 11:47:59+00:00,2015-10-11 13:18:27+03:00,,8.5/5.6/Dockerfile,,,
71,bb3303d34a3e86a4bc9eb1d652c5cce6ad441a6e,7.0/5.5/Dockerfile,7.0/5.5/Dockerfile,"# TODO:
# - version as a variable (both php and ZS)",2014-10-21 08:15:49+00:00,2014-10-21 11:15:49+03:00,2018-04-30 15:42:59+03:00,7.0/5.5/Dockerfile,2018-04-30 15:42:59+03:00,c05ceacf62ce7eddd38434a646efae2a13a03456,7.0/5.5/Dockerfile
72,bb3303d34a3e86a4bc9eb1d652c5cce6ad441a6e,7.0/5.4/Dockerfile,7.0/5.4/Dockerfile,"# TODO:
# - version as a variable (both php and ZS)",2014-10-21 08:15:49+00:00,2014-10-21 11:15:49+03:00,2018-04-30 15:42:59+03:00,7.0/5.4/Dockerfile,2018-04-30 15:42:59+03:00,c05ceacf62ce7eddd38434a646efae2a13a03456,7.0/5.4/Dockerfile
29,7ab162d48d5bbf815f0b6ca947ff3c358d18ae92,2019.0/Dockerfile,2019.0/Dockerfile,"#Copy Zray docker plugin
#TODO: Integrate Zray docker plugin into Zend Server",2019-07-22 08:45:45+00:00,2019-07-22 11:45:45+03:00,,2019.0/Dockerfile,,,
14,ed44d0b62d9a118877e5664f5b7c2f31ba681cd7,8.0/5.5/Dockerfile,8.0/5.5/Dockerfile,# TODO:,2014-12-10 13:53:37+00:00,2014-12-10 15:53:37+02:00,2016-08-01 12:35:14+03:00,8.0/5.5/Dockerfile,2015-11-09 15:11:44+02:00,9e03f246bebe045eb756d9e3996b542a372541d4,8.0/5.5/Dockerfile
11,4c3dda9854934f9bfa6893b286dd7532d08e39b9,8.0/openshift/Dockerfile,8.0/openshift/Dockerfile,# TODO:,2014-12-21 10:44:10+00:00,2014-12-21 12:44:10+02:00,2015-01-11 14:51:12+02:00,8.0/openshift/Dockerfile,2015-01-11 14:51:12+02:00,262d066f1fc62a283cbd352665c25625e77c9234,8.0/openshift/Dockerfile
13,ed44d0b62d9a118877e5664f5b7c2f31ba681cd7,8.0/5.6/Dockerfile,8.0/5.6/Dockerfile,# TODO:,2014-12-10 13:53:37+00:00,2014-12-10 15:53:37+02:00,2016-08-01 12:35:14+03:00,8.0/5.6/Dockerfile,2015-11-09 15:11:44+02:00,9e03f246bebe045eb756d9e3996b542a372541d4,8.0/5.6/Dockerfile
52,82bba8cc44febcc6d7f31e25373fd323a1b54bfc,8.5/5.5/Dockerfile,8.5/5.5/Dockerfile,# TODO:,2015-10-11 10:18:27+00:00,2015-10-11 13:18:27+03:00,2018-04-30 15:42:59+03:00,8.5/5.5/Dockerfile,2015-11-09 15:11:44+02:00,9e03f246bebe045eb756d9e3996b542a372541d4,8.5/5.5/Dockerfile
