,CommitID,Dockerfile,LatestDockerfile,Comment,Date,FirstCommit Date,Deleted Date,RenameList,DeletedComment Date,Deleted CommitID,Deleted Filename
164,d54416e2be73520a490eb0dd2819d8a2b4df3652,3.6/Dockerfile,3.6/Dockerfile,# TODO rebuild other cffi modules here too? (other _*_build.py files),2019-03-27 22:11:42+00:00,2019-02-11 16:21:19-08:00,,3.6/Dockerfile,,,
165,d54416e2be73520a490eb0dd2819d8a2b4df3652,2.7/slim/Dockerfile,2.7/slim/Dockerfile,# TODO rebuild other cffi modules here too? (other _*_build.py files),2019-03-27 22:11:42+00:00,2014-12-19 15:57:27-07:00,,2.7/slim/Dockerfile,,,
169,d54416e2be73520a490eb0dd2819d8a2b4df3652,3.6/slim/Dockerfile,3.6/slim/Dockerfile,# TODO rebuild other cffi modules here too? (other _*_build.py files),2019-03-27 22:11:42+00:00,2014-12-19 15:57:27-07:00,,3.6/slim/Dockerfile,,,
168,d54416e2be73520a490eb0dd2819d8a2b4df3652,2.7/Dockerfile,2.7/Dockerfile,# TODO rebuild other cffi modules here too? (other _*_build.py files),2019-03-27 22:11:42+00:00,2014-12-16 15:36:16-08:00,,2.7/Dockerfile,,,
167,d54416e2be73520a490eb0dd2819d8a2b4df3652,3.5/slim/Dockerfile,3.5/slim/Dockerfile,# TODO rebuild other cffi modules here too? (other _*_build.py files),2019-03-27 22:11:42+00:00,2019-02-11 16:21:19-08:00,2019-10-14 15:34:00-07:00,3.5/slim/Dockerfile,2019-10-14 15:34:00-07:00,da8a5ed73dab8d82a7e5b58d7714436168c25911,3.5/slim/Dockerfile
166,d54416e2be73520a490eb0dd2819d8a2b4df3652,3.5/Dockerfile,3.5/Dockerfile,# TODO rebuild other cffi modules here too? (other _*_build.py files),2019-03-27 22:11:42+00:00,2014-12-16 15:36:16-08:00,2019-10-14 15:34:00-07:00,3.5/Dockerfile,2019-10-14 15:34:00-07:00,da8a5ed73dab8d82a7e5b58d7714436168c25911,3.5/Dockerfile
