,CommitID,Dockerfiles,LatestDockerfile,Comments,Date,FirstCommit Date,Deleted Date,isSATD
0,e69f3889112bac11a39be680b284eb50b1bb44dc,3.5.3-beta/Dockerfile,3.5.8/Dockerfile,"    # TODO: the distribution given by apache is not gzipped correctly - unzip correctly when fixed
",Wed Oct 25 09:29:39 2017 -0400,Tue Oct 24 01:12:01 2017 -0400,,1
1,15b6f73b9f36a8bf4960c661427ac41de49cf534,3.5.3-beta/Dockerfile,3.5.8/Dockerfile,"    # TODO: the distribution given by apache is not gzipped correctly - unzip correctly when fixed
",Tue Oct 24 01:12:01 2017 -0400,Tue Oct 24 01:12:01 2017 -0400,,1
