,CommitID,Dockerfiles,LatestDockerfile,Comments,Date,FirstCommit Date,Deleted Date,isSATD
59,32e1f43fe655dc6e5b8dd4175adad2cadded2f14,2019.0/Dockerfile,2019.0/Dockerfile,"#Copy Zray docker plugin
#TODO: Integrate Zray docker plugin into Zend Server
",Mon Apr 20 18:05:28 2020 +0300,Mon Jul 22 11:45:45 2019 +0300,,1
60,bb3303d34a3e86a4bc9eb1d652c5cce6ad441a6e,7.0/5.5/Dockerfile,7.0/5.5/Dockerfile,"# Zend Server
#
# Version 0.1

# TODO:
# - version as a variable (both php and ZS)

",Tue Oct 21 11:15:49 2014 +0300,Tue Oct 21 11:15:49 2014 +0300,Mon Apr 30 15:42:59 2018 +0300,1
61,bb3303d34a3e86a4bc9eb1d652c5cce6ad441a6e,7.0/5.4/Dockerfile,7.0/5.4/Dockerfile,"# Zend Server
#
# Version 0.1

# TODO:
# - version as a variable (both php and ZS)

",Tue Oct 21 11:15:49 2014 +0300,Tue Oct 21 11:15:49 2014 +0300,Mon Apr 30 15:42:59 2018 +0300,1
62,11d17a993d3c795626436530cd45acbc7a9fd2e7,8.5/5.6/Dockerfile,8.5/5.6/Dockerfile,"#Copy Zray docker plugin
#TODO: Integrate Zray docker plugin into Zend Server
",Mon Apr 13 12:49:39 2020 +0300,Sun Oct 11 13:18:27 2015 +0300,,1
63,9dbdde8ed975da58a8bfdefeedf1e37ea24034f9,2019.0/Dockerfile,2019.0/Dockerfile,"#Copy Zray docker plugin
#TODO: Integrate Zray docker plugin into Zend Server
",Sat Apr 25 01:12:17 2020 +0300,Mon Jul 22 11:45:45 2019 +0300,,1
64,91aa421565dd7ff6ef075082bc789722375167cc,9.1/7.1/Dockerfile,9.1/7.1/Dockerfile,"#Copy Zray docker plugin
#TODO: Integrate Zray docker plugin into Zend Server
",Thu May 3 12:23:23 2018 +0300,Thu Apr 13 16:52:39 2017 +0300,,1
65,55ac645be4e5ae0dece88ff67159b0f010b62112,9.1/7.1/Dockerfile,9.1/7.1/Dockerfile,"#Copy Zray docker plugin
#TODO: Integrate Zray docker plugin into Zend Server
",Wed Oct 16 02:34:09 2019 -0700,Thu Apr 13 16:52:39 2017 +0300,,1
66,55ac645be4e5ae0dece88ff67159b0f010b62112,8.5/5.6/Dockerfile,8.5/5.6/Dockerfile,"#Copy Zray docker plugin
#TODO: Integrate Zray docker plugin into Zend Server
",Wed Oct 16 02:34:09 2019 -0700,Sun Oct 11 13:18:27 2015 +0300,,1
67,143f1001b6cc16ba65b76d7ee42ac122289e4ecf,2019.0/Dockerfile,2019.0/Dockerfile,"#Copy Zray docker plugin
#TODO: Integrate Zray docker plugin into Zend Server
",Fri Mar 20 23:19:24 2020 +0200,Mon Jul 22 11:45:45 2019 +0300,,1
68,98d1554186875aa78ce395b99a960f4880b135e8,2019.0/Dockerfile,2019.0/Dockerfile,"#Copy Zray docker plugin
#TODO: Integrate Zray docker plugin into Zend Server
",Fri Oct 18 02:11:24 2019 -0700,Mon Jul 22 11:45:45 2019 +0300,,1
