,CommitID,Dockerfile,LatestDockerfile,Comment,Date,FirstCommit Date,Deleted Date,RenameList
388,8f5e7ac1915154686f1f53db6645721d1bbca05c,4.4-rc/windows/windowsservercore-ltsc2016/Dockerfile,4.4/windows/windowsservercore-ltsc2016/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2020-05-27 10:16:24-07:00,2020-05-27 09:57:58-07:00,,4.4-rc/windows/windowsservercore-ltsc2016/Dockerfile
389,8f5e7ac1915154686f1f53db6645721d1bbca05c,4.4-rc/windows/windowsservercore-1809/Dockerfile,4.4/windows/windowsservercore-1809/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2020-05-27 10:16:24-07:00,2020-05-27 09:57:58-07:00,,4.4-rc/windows/windowsservercore-1809/Dockerfile
390,274966255b326b17a4a351867ece4eaa0eefef28,4.0/Dockerfile,4.0/Dockerfile,# TODO some sort of download verification here,2018-06-27 09:55:15-07:00,2018-05-22 08:18:05-07:00,,4.0/Dockerfile
391,274966255b326b17a4a351867ece4eaa0eefef28,4.0/windows/windowsservercore-1709/Dockerfile,4.0/windows/windowsservercore-1709/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2018-06-27 09:55:15-07:00,2018-01-16 09:12:18-08:00,2019-04-11 16:27:32-07:00,4.0/windows/windowsservercore-1709/Dockerfile
392,274966255b326b17a4a351867ece4eaa0eefef28,4.0/windows/windowsservercore-ltsc2016/Dockerfile,4.0/windows/windowsservercore-ltsc2016/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2018-06-27 09:55:15-07:00,2018-01-16 09:12:18-08:00,,4.0/windows/windowsservercore-ltsc2016/Dockerfile
393,d291ed022225ad57d32c98668bcfd5a52baa2e13,3.5/windows/windowsservercore/Dockerfile,3.5/windows/windowsservercore-1709/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2017-06-22 04:01:36+00:00,2017-03-31 14:11:27-07:00,2017-12-05 17:55:06-08:00,3.5/windows/windowsservercore/Dockerfile
394,56dd5c86b7a329b944845ea782fb98a3384d8d4e,4.0/windows/windowsservercore-1803/Dockerfile,4.0/windows/windowsservercore-1803/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2019-08-09 04:01:46+00:00,2018-07-17 14:11:36-07:00,2019-12-09 14:37:19-08:00,4.0/windows/windowsservercore-1803/Dockerfile
395,56dd5c86b7a329b944845ea782fb98a3384d8d4e,4.0/windows/windowsservercore-ltsc2016/Dockerfile,4.0/windows/windowsservercore-ltsc2016/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2019-08-09 04:01:46+00:00,2018-01-16 09:12:18-08:00,,4.0/windows/windowsservercore-ltsc2016/Dockerfile
396,56dd5c86b7a329b944845ea782fb98a3384d8d4e,4.0/Dockerfile,4.0/Dockerfile,# TODO some sort of download verification here,2019-08-09 04:01:46+00:00,2018-05-22 08:18:05-07:00,,4.0/Dockerfile
397,dfdb29b657c25a8358a510e16f1f78b508d15855,4.2-rc/windows/windowsservercore-ltsc2016/Dockerfile,4.2-rc/windows/windowsservercore-ltsc2016/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2019-06-26 10:01:41+00:00,2019-06-12 16:19:52-07:00,2019-08-13 09:19:51-07:00,4.2-rc/windows/windowsservercore-ltsc2016/Dockerfile
398,dfdb29b657c25a8358a510e16f1f78b508d15855,4.2-rc/windows/windowsservercore-1803/Dockerfile,4.2-rc/windows/windowsservercore-1803/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2019-06-26 10:01:41+00:00,2019-06-12 16:19:52-07:00,2019-08-13 09:19:51-07:00,4.2-rc/windows/windowsservercore-1803/Dockerfile
399,e3d632f0b8c5b979f06ec933eca2a08293161530,3.6/Dockerfile,3.6/Dockerfile,# TODO some sort of download verification here,2019-01-18 05:01:26+00:00,2017-11-22 16:40:34-08:00,,3.6/Dockerfile
400,e3d632f0b8c5b979f06ec933eca2a08293161530,3.6/windows/windowsservercore-1709/Dockerfile,3.6/windows/windowsservercore-1709/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2019-01-18 05:01:26+00:00,2017-11-22 16:40:34-08:00,2019-04-11 16:27:32-07:00,3.6/windows/windowsservercore-1709/Dockerfile
401,e3d632f0b8c5b979f06ec933eca2a08293161530,3.6/windows/windowsservercore-ltsc2016/Dockerfile,3.6/windows/windowsservercore-ltsc2016/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2019-01-18 05:01:26+00:00,2017-11-22 16:40:34-08:00,,3.6/windows/windowsservercore-ltsc2016/Dockerfile
402,d0228eaf207d2d708bbbbe29faf6c9f0b6e59efe,4.0/Dockerfile,4.0/Dockerfile,# TODO some sort of download verification here,2020-03-20 10:47:07-07:00,2018-05-22 08:18:05-07:00,,4.0/Dockerfile
403,d0228eaf207d2d708bbbbe29faf6c9f0b6e59efe,3.6/windows/windowsservercore-1809/Dockerfile,3.6/windows/windowsservercore-1809/Dockerfile,"# TODO docker-entrypoint.ps1 ? (for ""docker run <image> --flag --flag --flag"")",2020-03-20 10:47:07-07:00,2020-03-20 10:20:54-07:00,,3.6/windows/windowsservercore-1809/Dockerfile
404,89f19dc16431025c00a4709e0da6d751cf94830f,4.0/Dockerfile,4.0/Dockerfile,# TODO some sort of download verification here,2019-03-28 22:01:26+00:00,2018-05-22 08:18:05-07:00,,4.0/Dockerfile
