,CommitID,Dockerfile,LatestDockerfile,Comment,Date,FirstCommit Date,Deleted Date,RenameList,logIndex
173,847f57d4d7ff5979d88e039f1450e35e8fd7eda7,2.7/slim/Dockerfile,2.7/slim/Dockerfile,# TODO rebuild other cffi modules here too? (other _*_build.py files),2019-08-14 14:18:59-07:00,2014-12-19 15:57:27-07:00,,2.7/slim/Dockerfile,144
174,847f57d4d7ff5979d88e039f1450e35e8fd7eda7,3.5/slim/Dockerfile,3.5/slim/Dockerfile,# TODO rebuild other cffi modules here too? (other _*_build.py files),2019-08-14 14:18:59-07:00,2019-02-12 13:08:27-08:00,2019-10-14 15:34:00-07:00,3.5/slim/Dockerfile,144
175,847f57d4d7ff5979d88e039f1450e35e8fd7eda7,3.6/slim/Dockerfile,3.6/slim/Dockerfile,# TODO rebuild other cffi modules here too? (other _*_build.py files),2019-08-14 14:18:59-07:00,2014-12-19 15:57:27-07:00,,3.6/slim/Dockerfile,144
176,847f57d4d7ff5979d88e039f1450e35e8fd7eda7,2.7/Dockerfile,2.7/Dockerfile,# TODO rebuild other cffi modules here too? (other _*_build.py files),2019-08-14 14:18:59-07:00,2014-12-16 15:36:16-08:00,,2.7/Dockerfile,144
177,dda0d4f06313bbd160c10441ab71fb0b1dd1ae22,3.5/slim/Dockerfile,3.5/slim/Dockerfile,# TODO rebuild other cffi modules here too? (other _*_build.py files),2019-08-25 10:07:18+00:00,2019-02-12 13:08:27-08:00,2019-10-14 15:34:00-07:00,3.5/slim/Dockerfile,130
178,dda0d4f06313bbd160c10441ab71fb0b1dd1ae22,3.5/Dockerfile,3.5/Dockerfile,# TODO rebuild other cffi modules here too? (other _*_build.py files),2019-08-25 10:07:18+00:00,2014-12-16 15:36:16-08:00,2019-10-14 15:34:00-07:00,3.5/Dockerfile,130
179,d54416e2be73520a490eb0dd2819d8a2b4df3652,Dockerfile-slim.template,Dockerfile-slim.template,# TODO rebuild other cffi modules here too? (other _*_build.py files),2019-03-27 15:11:42-07:00,2017-08-24 16:16:04-07:00,,Dockerfile-slim.template,211
180,d54416e2be73520a490eb0dd2819d8a2b4df3652,Dockerfile.template,Dockerfile.template,# TODO rebuild other cffi modules here too? (other _*_build.py files),2019-03-27 15:11:42-07:00,2017-08-24 16:16:04-07:00,,Dockerfile.template,211
181,d54416e2be73520a490eb0dd2819d8a2b4df3652,3.6/Dockerfile,3.6/Dockerfile,# TODO rebuild other cffi modules here too? (other _*_build.py files),2019-03-27 15:11:42-07:00,2019-02-12 13:08:27-08:00,,3.6/Dockerfile,211
182,d54416e2be73520a490eb0dd2819d8a2b4df3652,2.7/slim/Dockerfile,2.7/slim/Dockerfile,# TODO rebuild other cffi modules here too? (other _*_build.py files),2019-03-27 15:11:42-07:00,2014-12-19 15:57:27-07:00,,2.7/slim/Dockerfile,211
183,d54416e2be73520a490eb0dd2819d8a2b4df3652,3.5/Dockerfile,3.5/Dockerfile,# TODO rebuild other cffi modules here too? (other _*_build.py files),2019-03-27 15:11:42-07:00,2014-12-16 15:36:16-08:00,2019-10-14 15:34:00-07:00,3.5/Dockerfile,211
184,d54416e2be73520a490eb0dd2819d8a2b4df3652,3.5/slim/Dockerfile,3.5/slim/Dockerfile,# TODO rebuild other cffi modules here too? (other _*_build.py files),2019-03-27 15:11:42-07:00,2019-02-12 13:08:27-08:00,2019-10-14 15:34:00-07:00,3.5/slim/Dockerfile,211
185,d54416e2be73520a490eb0dd2819d8a2b4df3652,2.7/Dockerfile,2.7/Dockerfile,# TODO rebuild other cffi modules here too? (other _*_build.py files),2019-03-27 15:11:42-07:00,2014-12-16 15:36:16-08:00,,2.7/Dockerfile,211
186,d54416e2be73520a490eb0dd2819d8a2b4df3652,3.6/slim/Dockerfile,3.6/slim/Dockerfile,# TODO rebuild other cffi modules here too? (other _*_build.py files),2019-03-27 15:11:42-07:00,2014-12-19 15:57:27-07:00,,3.6/slim/Dockerfile,211
187,fe45a19bcc5661340cfba1feb8d4646484cccfe2,2.7/Dockerfile,2.7/Dockerfile,# TODO rebuild other cffi modules here too? (other _*_build.py files),2019-10-15 00:00:38+00:00,2014-12-16 15:36:16-08:00,,2.7/Dockerfile,108
188,fe45a19bcc5661340cfba1feb8d4646484cccfe2,2.7/slim/Dockerfile,2.7/slim/Dockerfile,# TODO rebuild other cffi modules here too? (other _*_build.py files),2019-10-15 00:00:38+00:00,2014-12-19 15:57:27-07:00,,2.7/slim/Dockerfile,108
189,fe45a19bcc5661340cfba1feb8d4646484cccfe2,3.6/Dockerfile,3.6/Dockerfile,# TODO rebuild other cffi modules here too? (other _*_build.py files),2019-10-15 00:00:38+00:00,2019-02-12 13:08:27-08:00,,3.6/Dockerfile,108
190,fe45a19bcc5661340cfba1feb8d4646484cccfe2,3.6/slim/Dockerfile,3.6/slim/Dockerfile,# TODO rebuild other cffi modules here too? (other _*_build.py files),2019-10-15 00:00:38+00:00,2014-12-19 15:57:27-07:00,,3.6/slim/Dockerfile,108
