,CommitID,Dockerfiles,Comments,isSATD
143,58b97d2c58c9d39ab60bd9145b2f92ddd7f7b67d,/dockerfile_functions.sh,"  # shellcheck disable=SC1083,SC2086 # TODO not sure about intention here
",1
594,299fbcc40aa6d46d86981c8154097119d3657cad,/dockerfile_functions.sh,"  # shellcheck disable=SC1083,SC2086 # TODO not sure about intention here
",1
881,2552afc76af639c7925923b122f663bfea93dd24,/dockerfile_functions.sh,"  # shellcheck disable=SC1083,SC2086 # TODO not sure about intention here
",1
3767,9dc3a3bbb52dfd01c570e2082c26002d9d3eb780,/dockerfile_functions.sh,"  # shellcheck disable=SC1083,SC2086 # TODO not sure about intention here
",1
3837,4b3d20c9c2952c3c4de8f39efe07fe4bc3bf3ba9,/dockerfile_functions.sh,"  # shellcheck disable=SC1083,SC2086 # TODO not sure about intention here
",1
4524,e4281e3a2800d0884e3c30fbf235a32467b3e8eb,/dockerfile_functions.sh,"  # shellcheck disable=SC1083,SC2086 # TODO not sure about intention here
",1
4686,cf0c7d39307a53baf19db72db7d37e1d6ef4b19c,/dockerfile_functions.sh,"  # shellcheck disable=SC1083,SC2086 # TODO not sure about intention here
",1
5086,d9e0b6e991de2e80e24a5323ce3ab8bbc4479222,/dockerfile_functions.sh,"  # shellcheck disable=SC1083,SC2086 # TODO not sure about intention here
",1
6077,09ab1823e64f5b3e7e027cf6625add7b5eef83ae,/dockerfile_functions.sh,"  # shellcheck disable=SC1083,SC2086 # TODO not sure about intention here
",1
6324,4b91eff104847c1f0b7566620cd6cc390dceec88,/dockerfile_functions.sh,"  # shellcheck disable=SC1083,SC2086 # TODO not sure about intention here
",1
7593,2f6c6e58f1a77878a36eb1b74cec4c2cf572bff5,/dockerfile_functions.sh,"  # shellcheck disable=SC1083,SC2086 # TODO not sure about intention here
",1
7701,ded4e24bdd2b05b7ed731aed4ca01cc240c5528b,/dockerfile_functions.sh,"  # shellcheck disable=SC1083,SC2086 # TODO not sure about intention here
",1
8853,54fdb38401bb8d458ca11c8687c86e2a234438c4,/dockerfile_functions.sh,"  # shellcheck disable=SC1083,SC2086 # TODO not sure about intention here
",1
9352,9698cd795177073e0af67060fb99b07e33641de3,/dockerfile_functions.sh,"  # shellcheck disable=SC1083,SC2086 # TODO not sure about intention here
",1
