,CommitID,Dockerfiles,Comments,isSATD
4,9874e684d9e4b545eeff466da8c21ec71b3ec711,/support/dockerfiles/photon/make-docker-image.sh,"# TODO: remove this line after updating photon-build image with new
# versions of sqlite and rpm with -libs subpackages
",1
17,db36e75e8ae96b052e504a304793560c238e7f16,/support/dockerfiles/photon/make-docker-image.sh,"# reinstalling inside to make sure rpmdb is created for tdnf.
# TODO find better solution.
",1
26,05c6e7935c3ddbc04aa45363b25793603cb963cd,/support/dockerfiles/photon/make-docker-image.sh,"# # reinstalling inside to make sure rpmdb is created for tdnf.
# # TODO find better solution.
# chroot $TEMP_CHROOT bash -c \
#    ""tdnf install -y filesystem; \
#     tdnf install -y glibc ; \
#     tdnf install -y bash ; \
#     tdnf install -y coreutils ; \
#     tdnf install -y rpm-ostree ; \
#     tdnf install -y photon-release; \
#     rpm -e --nodeps perl; \
#     rpm -e --nodeps perl-DBD-SQLite; \
#     rpm -e --nodeps perl-Module-ScanDeps; \
#     rpm -e --nodeps perl-DBIx-Simple; \
#     rpm -e --nodeps perl-DBI; \
#     rpm -e --nodeps perl-WWW-Curl;""

",1
41,71aeaaeb0e77812f1eec535d30a694aaeac5a22d,/support/dockerfiles/photon/make-docker-image.sh,"# # reinstalling inside to make sure rpmdb is created for tdnf.
# # TODO find better solution.
",1
62,a765f0a0375e07e7cad850cf374e748ed92d7420,/support/dockerfiles/photon/make-docker-image.sh,"# TODO: remove this line after updating photon-build image with new
# versions of sqlite and rpm with -libs subpackages
",1
79,2c153d2993c90f067adcf70093a424764262a8ee,/support/dockerfiles/photon/make-docker-image.sh,"# # reinstalling inside to make sure rpmdb is created for tdnf.
# # TODO find better solution.
",1
115,4d53ba0374b945d35042cbe2d4dfb0ae6fb6dd6a,/support/dockerfiles/photon/make-docker-image.sh,"# reinstalling inside to make sure rpmdb is created for tdnf.
# TODO find better solution.
",1
130,16934d5c41bc25b2878c44817a5e5abbb0ed5a4c,/support/dockerfiles/photon/make-docker-image.sh,"# reinstalling inside to make sure rpmdb is created for tdnf.
# TODO find better solution.
",1
165,b26bbea054eaced850142fb1f7c6525090a9aeaf,/support/dockerfiles/photon/make-docker-image.sh,"# reinstalling inside to make sure rpmdb is created for tdnf.
# TODO find better solution.
",1
187,9d909f3f819dad0cf62049490907303898d1e352,/support/dockerfiles/photon/make-docker-image.sh,"# # reinstalling inside to make sure rpmdb is created for tdnf.
# # TODO find better solution.
",1
195,332d24faf833ec812b5f749e3e999445a6261018,/support/dockerfiles/photon/make-docker-image.sh,"# # reinstalling inside to make sure rpmdb is created for tdnf.
# # TODO find better solution.
",1
231,f093864e3c1f22c6bf990f1c9cd35546ed8d6097,/support/dockerfiles/photon/make-docker-image.sh,"# # reinstalling inside to make sure rpmdb is created for tdnf.
# # TODO find better solution.
# chroot $TEMP_CHROOT bash -c \
#    ""tdnf install -y filesystem; \
#     tdnf install -y glibc ; \
#     tdnf install -y bash ; \
#     tdnf install -y coreutils ; \
#     tdnf install -y rpm-ostree ; \
#     tdnf install -y photon-release; \
#     rpm -e --nodeps perl; \
#     rpm -e --nodeps perl-DBD-SQLite; \
#     rpm -e --nodeps perl-Module-ScanDeps; \
#     rpm -e --nodeps perl-DBIx-Simple; \
#     rpm -e --nodeps perl-DBI; \
#     rpm -e --nodeps perl-WWW-Curl;""

",1
243,7d00a1d5c2800d659e4842ba257e37e32cc7de1d,/support/dockerfiles/photon/make-docker-image.sh,"# reinstalling inside to make sure rpmdb is created for tdnf.
# TODO find better solution.
",1
