,project,list,InTemplate?
41,influxdata_kapacitor,"BLOB_STORE_DESIGN.md
CHANGELOG.md
CONTRIBUTING.md
DESIGN.md
Dockerfile_build_ubuntu32
Dockerfile_build_ubuntu64
Gopkg.lock
Gopkg.toml
LICENSE
LICENSE_OF_DEPENDENCIES.md
README.md
alert
alert.go
auth
autoscale.go
barrier.go
batch.go
bufpool
build.py
build.sh
change_detect.go
circle-test.sh
circle.yml
client
clock
cmd
combine.go
combine_test.go
command
default.go
delete.go
derivative.go
doc.go
edge
edge.go
etc
eval.go
examples
expr.go
expvar
flatten.go
gobuild.sh
group_by.go
http
http_out.go
http_post.go
influxdb
influxdb_out.go
influxql.gen.go
influxql.gen.go.tmpl
influxql.go
integrations
join.go
kapacitor_loopback.go
keyvalue
list-deps
listmap
log.go
metaclient.go
models
node.go
noop.go
output.go
pipeline
query.go
query_test.go
replay.go
result.go
sample.go
scripts
server
services
shift.go
sideload.go
state_tracking.go
stats.go
stream.go
task.go
task_master.go
template.go
test.sh
tick
tickdoc.conf
timer
tlsconfig
tmpldata.json
udf
udf.go
udf_test.go
union.go
update_tick_docs.sh
usr
uuid
vendor
waiter
where.go
window.go
window_test.go
",0
42,arangodb_arangodb-docker,"Dockerfile33.local
Dockerfile33.templ
Dockerfile34.templ
Dockerfile35.templ
LICENSE
README-short.txt
README.md
addversion.sh
alpine
build_docker_library_file.sh
docker-entrypoint33.sh
docker-entrypoint34.sh
logo.png
mapVersions.txt
stretch
test-user-scripts
",0
43,rust-lang-nursery_docker-rust,"1.46.0
Dockerfile-alpine.template
Dockerfile-debian.template
Dockerfile-slim.template
README.md
x.py
",1
44,eggheads_eggdrop-docker,"1.6
1.8
README.md
develop
",0
45,kaazing_gateway.docker,"CHANGELOG.md
CONTRIBUTING.md
Dockerfile
LICENSE.txt
README.md
",0
46,YOURLS_YOURLS,"CHANGELOG.md
LICENSE
README.md
admin
composer.json
composer.lock
css
images
includes
js
phpunit-travis.xml.dist
phpunit.xml.dist
readme.html
sample-public-api.txt
sample-public-front-page.txt
sample-remote-api-call.txt
sample-robots.txt
tests
user
yourls-api.php
yourls-go.php
yourls-infos.php
yourls-loader.php
",0
47,xwiki-contrib_docker-xwiki,"11
12
LICENSE
README.md
build.gradle
contrib
docker-compose-mysql.yml
docker-compose-postgres.yml
gradle
gradlew
gradlew.bat
template
",0
48,jwilder_nginx-proxy,"Dockerfile
Dockerfile.alpine
LICENSE
Makefile
Procfile
README.md
dhparam.pem.default
docker-compose-separate-containers.yml
docker-compose.yml
docker-entrypoint.sh
generate-dhparam.sh
network_internal.conf
nginx.tmpl
test
",0
49,apple_swift-docker,"3.1
4.0
4.1
4.2
5.0
5.1
5.2
CODE_OF_CONDUCT.md
LICENSE.md
PROJECT.md
README.md
ci_test.py
docs
nightly-5.2
nightly-5.3
nightly-master
swift-ci
",0
50,docker-library_hello-world,"Dockerfile-linux.template
Dockerfile-windows.template
Dockerfile.build
LICENSE
Makefile
README.md
amd64
arm32v5
arm32v7
arm64v8
generate-stackbrew-library.sh
greetings
hello.c
i386
mips64le
ppc64le
s390x
update.sh
",1
51,brianmario_mysql2,"CHANGELOG.md
Gemfile
LICENSE
README.md
Rakefile
appveyor.yml
benchmark
examples
ext
lib
mysql2.gemspec
script
spec
support
tasks
",0
52,cirros-dev_cirros,"ChangeLog
Makefile
README.md
TODO
bin
conf
doc
fixup-fs
lxd-meta
makedevs.list
patches-buildroot
src
",0
53,docker-library_repo-info,"Dockerfile.local
Dockerfile.remote
LICENSE
README.md
generate-readme.sh
repos
scan-local.sh
update-remote.sh
",0
54,blockbridge_blockbridge-kubernetes,"README.md
README.v0.2.0.md
",0
55,vrana_adminer,"adminer
changes.txt
compile.php
composer.json
coverage.php
designs
editor
externals
lang.php
plugins
readme.txt
tests
todo.txt
",0
56,Lightstreamer_Docker,"6.0
6.1
7.0
7.1
LICENSE
README.md
",0
57,cruxlinux_docker-crux,"CONTRIBUTING.md
Dockerfile
LICENSE
Makefile
README.rst
build
release
",0
58,OpenLiberty_open-liberty,"CONTRIBUTING.md
LICENSE
README.md
cla
dev
images
logos
",0
59,convertigo_docker,"7.4
7.5
LICENSE
README.md
compose
",0
60,influxdata_influxdata-docker,"Jenkinsfile
Jenkinsfile.nightly
chronograf
circle-test.sh
dockerlib
go.mod
go.sum
influxdb
kapacitor
telegraf
",0
61,fedora-cloud_docker-brew-fedora,"Dockerfile.j2
LICENSE
README.md
requirements.txt
tasks.py
tox.ini
",0
62,krallin_tini,"CMakeLists.txt
Dockerfile
LICENSE
README.md
ci
ddist.sh
dtest.sh
run_tests.sh
sign.key.enc
src
test
tpl
",0
63,hashicorp_vault,"CHANGELOG.md
CONTRIBUTING.md
LICENSE
Makefile
README.md
api
audit
builtin
command
go.mod
go.sum
helper
http
internalshared
main.go
main_test.go
make.bat
packages-oss.lock
packages-oss.yml
physical
plugins
scripts
sdk
serviceregistration
shamir
terraform
tools
ui
vault
vendor
website
",0
64,docker-library_mariadb,"10.1
10.2
10.3
10.4
10.5
Dockerfile.template
LICENSE
README.md
docker-entrypoint.sh
generate-stackbrew-library.sh
update.sh
",1
65,SWI-Prolog_docker-swipl,"7.5.11
7.5.12
7.5.13
7.5.14
7.5.15
7.6.0
7.6.3
7.6.4
7.7.0
7.7.1
7.7.10
7.7.11
7.7.12
7.7.13
7.7.14
7.7.16
7.7.17
7.7.18
7.7.19
7.7.2
7.7.20
7.7.21
7.7.22
7.7.25
7.7.4
7.7.5
7.7.7
7.7.8
7.7.9
8.0.0
8.0.3
8.1.0
8.1.1
8.1.12
8.1.15
8.1.16
8.1.2
8.1.30
8.1.4
8.1.5
8.1.6
8.1.8
8.2.0
LICENCE
README.md
build
test.pl
test.sh
",0
66,caddyserver_dist,"README.md
archlinux
config
init
packer
rpm
scripts
welcome
",0
67,dotcloud_hipache,"AUTHORS
CONTRIBUTING.md
Dockerfile
LICENSE
README.md
bin
config
gulpfile.js
lib
package.json
static
test
upstart.conf
",0
68,SAP_SapMachine,"ADDITIONAL_LICENSE_INFO
ASSEMBLY_EXCEPTION
CONTRIBUTING.md
LICENSE
Makefile
README.md
bin
configure
doc
make
src
test
",0
69,docker_swarm,"CHANGELOG.md
CONTRIBUTING.md
Dockerfile
LICENSE.code
LICENSE.docs
MAINTAINERS
README.md
RELEASE-CHECKLIST.md
api
cli
cluster
discovery
docs
experimental
logo.png
main.go
scheduler
script
swarmclient
test
vendor
vendor.conf
version
",0
70,31z4_storm-docker,"1.1.3
1.2.3
2.2.0
LICENSE
README.md
",0
71,tianon_docker-bash,"3.0
3.1
3.2
4.0
4.1
4.2
4.3
4.4
5.0
5.1-rc
Dockerfile.template
LICENSE
README.md
apply-templates.sh
devel
docker-entrypoint.sh
generate-stackbrew-library.sh
update.sh
versions.json
versions.sh
",1
72,hipache_hipache,"AUTHORS
CONTRIBUTING.md
Dockerfile
LICENSE
README.md
bin
config
gulpfile.js
lib
package.json
static
test
upstart.conf
",0
73,varnish_docker-varnish,"README.md
docker-varnish-entrypoint
fresh
populate.sh
stable
",0
74,tianon_gosu,"Dockerfile
Dockerfile.test-alpine
Dockerfile.test-debian
INSTALL.md
LICENSE
README.md
build.sh
go.mod
go.sum
main.go
setup-user.go
sign.sh
test.sh
version.go
",0
75,Nexenta_nexentastor-csi-driver,"CHANGELOG.md
Dockerfile
Dockerfile.csi-sanity
Dockerfile.pre-release
Dockerfile.tests
Jenkinsfile
LICENSE
Makefile
README.md
cmd
deploy
examples
go.mod
go.sum
pkg
tests
",0
76,docker-library_django,"2.7
3.4
LICENSE
README.md
generate-stackbrew-library.sh
update.sh
",0
77,perl6_docker,"Dockerfile
LICENSE
README-short.txt
README.md
alpine
logo.png
",0
78,nats-io_nats-streaming-server,"CODE-OF-CONDUCT.md
GOVERNANCE.md
LICENSE
MAINTAINERS.md
README.md
TODO.md
go.mod
go.sum
logger
nats-streaming-server.go
scripts
server
spb
stores
test
util
vendor
",0
79,rakudo_star,"LICENSE
README.md
bin
etc
lib
",0
80,openSUSE_kiwi,"LICENSE
Makefile
README.rst
doc
editing
kiwi
kiwi.pl
locale
metadata
modules
pxeboot
rpm
system
template
tests
tools
xsl
",0
81,aws_amazon-linux-docker-images,,0
82,docker-library_wordpress,"Dockerfile-alpine.template
Dockerfile-cli.template
Dockerfile-debian.template
LICENSE
README.md
apache-extras.template
cli-entrypoint.sh
docker-entrypoint.sh
generate-stackbrew-library.sh
php7.2
php7.3
php7.4
update.sh
",1
83,oracle_container-images,"CHANGELOG.md
LICENSE
README-short.txt
README.md
logo.png
",0
84,apache_zookeeper,"Jenkinsfile
Jenkinsfile-PreCommit
LICENSE.txt
NOTICE.txt
README.md
README_packaging.md
bin
checkstyle-simple.xml
checkstyle-strict.xml
checkstyleSuppressions.xml
conf
dev
excludeFindBugsFilter.xml
owaspSuppressions.xml
pom.xml
tools
zk-merge-pr.py
zookeeper-assembly
zookeeper-client
zookeeper-compatibility-tests
zookeeper-contrib
zookeeper-docs
zookeeper-it
zookeeper-jute
zookeeper-metrics-providers
zookeeper-recipes
zookeeper-server
",0
85,varnishcache_varnish-cache,"CONTRIBUTING
ChangeLog
INSTALL
LICENSE
Makefile.am
README.Packaging
README.rst
autogen.des
autogen.sh
bin
configure.ac
doc
etc
flint.lnt
include
lib
m4
man
tools
varnish-legacy.m4
varnish.m4
varnishapi-uninstalled.pc.in
varnishapi.pc.in
vtc.am
",0
86,cloudfoundry_java-buildpack,"CONTRIBUTING.md
Gemfile
Gemfile.lock
LICENSE
NOTICE
README.md
Rakefile
bin
ci
config
docs
java-buildpack.iml
lib
rakelib
resources
spec
",0
87,couchbase_docker,"README.md
community
compose
enterprise
generate
",0
88,zendtech_php-zendserver-docker,"2019.0
8.5
9.1
README.md
compose_examples
nightly
nothing-src
",0
89,docker-library_pypy,"2.7
3.6
Dockerfile-slim.template
Dockerfile.template
LICENSE
README.md
generate-stackbrew-library.sh
release-architectures
update.sh
",1
90,influxdata_influxdb,"CHANGELOG.md
CONTRIBUTING.md
DEVELOPMENT.md
Dockerfile
FUZZ.md
LICENSE
Makefile
README.md
SECURITY.md
api-compat.Jenkinsfile
appveyor.yml
auth.go
authorization
authorizer
authz.go
authz_test.go
backup.go
bolt
bucket.go
build.go
check.go
checks
chronograf
cmd
context
crud_log.go
dashboard.go
dashboard_test.go
dbrp
dbrp_mapping.go
dbrp_mapping_internal_test.go
dbrp_mapping_test.go
delete.go
docker
docs
document.go
duration.go
e2e
endpoints
env
error.go
errors.go
errors.md
errors_test.go
etc
flags.yml
flux
gather
go.mod
go.sum
http
id.go
id_test.go
influxql
inmem
internal
jsonweb
keyvalue_log.go
kit
kv
label
label.go
label_test.go
logger
lookup.go
measurement.go
mock
models
nats
notification
notification.go
notification_endpoint.go
onboarding.go
operation_log.go
organization.go
paging.go
passwords.go
pkg
pkger
predicate
prometheus
query
query.go
rand
resource
scraper.go
scripts
secret
secret.go
secret_test.go
semaphore.go
session
session.go
snowflake
source
source.go
status.go
storage
tag.go
tag_test.go
task
task.go
task_errors.go
task_test.go
telegraf
telegraf.go
telegraf_test.go
telemetry
tenant
tenant.go
testing
token.go
toml
tools
tools.go
tsdb
ui
usage.go
user.go
user_resource_mapping.go
user_resource_mapping_test.go
uuid
v1
variable.go
variable_test.go
vault
write
write.go
xcc.sh
zap
",0
91,docker-library_redis,"5.0
6.0
Dockerfile-alpine.template
Dockerfile.template
LICENSE
README.md
generate-stackbrew-library.sh
old-protected-mode-sed.template
update.sh
",1
92,HaxeFoundation_docker-library-haxe,"3.1
3.2
3.3
3.4
4.0
4.1
Dockerfile-alpine3.10.template
Dockerfile-alpine3.11.template
Dockerfile-alpine3.12.template
Dockerfile-alpine3.9.template
Dockerfile-buster.template
Dockerfile-nanoserver.template
Dockerfile-stretch.template
Dockerfile-windowsservercore-1809.template
Dockerfile-windowsservercore-ltsc2016.template
GenerateStackbrewLibrary.hx
LICENSE
README.md
Update.hx
appveyor.yml
azure-pipelines-steps.yml
azure-pipelines.yml
generate-stackbrew-library.hxml
update.hxml
",1
93,postgis_docker-postgis,"10-2.5
10-3.0
11-2.5
11-3.0
12-2.5
12-3.0
12-master
13-3.0
13-master
9.5-2.5
9.5-3.0
9.6-2.5
9.6-3.0
AUTHORS
Dockerfile.alpine.template
Dockerfile.master.template
Dockerfile.template
LICENSE
Makefile
README.md
initdb-postgis.sh
test
update-postgis.sh
update.sh
",1
94,container-storage-interface_spec,"CCLA.pdf
CONTRIBUTING.md
LICENSE
Makefile
OWNERS
README.md
VERSION
csi.proto
lib
logo.png
spec.md
",0
95,idno_Known-docker,"Dockerfile
LICENSE
README.md
docker-entrypoint.sh
generate-stackbrew-library.sh
update.sh
",0
96,moby_moby,"AUTHORS
CHANGELOG.md
CONTRIBUTING.md
Dockerfile
Dockerfile.buildx
Dockerfile.e2e
Dockerfile.simple
Dockerfile.windows
Jenkinsfile
LICENSE
MAINTAINERS
Makefile
NOTICE
README.md
ROADMAP.md
SECURITY.md
TESTING.md
VENDORING.md
api
builder
cli
client
cmd
codecov.yml
container
contrib
daemon
distribution
dockerversion
docs
errdefs
hack
image
integration
integration-cli
internal
layer
libcontainerd
moby_test.txt
oci
opts
patches
pkg
plugin
poule.yml
profiles
project
reference
registry
reports
restartmanager
rootless
runconfig
testutil
vendor
vendor.conf
volume
",0
97,c0b_docker-elixir,"1.10
1.2
1.3
1.4
1.5
1.6
1.7
1.8
1.9
README.md
generate-stackbrew-library.sh
master
",0
98,influxdata_chronograf,"CHANGELOG.md
CONTRIBUTING.md
Dockerfile
LICENSE
LICENSE_OF_DEPENDENCIES.md
Makefile
README.md
agpl-3.0.md
canned
chronograf.go
cmd
dist
docs
enterprise
etc
filestore
flux
go.mod
go.sum
id
influx
kapacitor
kapacitor.go
kv
log
memdb
mocks
multistore
noop
oauth2
organizations
protoboards
roles
server
snowflake
ui
",0
99,rethinkdb_rethinkdb-dockerfiles,"CODE_OF_CONDUCT.md
CONTRIBUTING.md
LICENSE
README.md
bionic
buster
centos7
centos8
cut-new-release.sh
disco
eoan
focal
jessie
stretch
trusty
xenial
",0
100,YOURLS_docker-yourls,"Dockerfile.template
LICENSE
README.md
apache
config-docker.php
docker-entrypoint.sh
fpm
fpm-alpine
generate-stackbrew-library.sh
update.sh
yourls.vhost
",1
101,vmware_photon,"AUTHORS.md
CHANGELOG.md
COPYING
CREDITS
Dockerfile
LICENSE.md
Makefile
NOTICE-Apachev2
NOTICE-GPL2.0
PUBLISHRPMS_SPECS
README.md
SPECS
Vagrantfile
build.py
common
config.json
contributing.md
docs
index.html
installer
photon-build-config.txt
support
tools
",0
102,mlocati_docker-php-extension-installer,"Dockerfile
LICENSE
README.md
composer.json
data
install-php-extensions
scripts
",0
103,nextcloud_docker,"17.0
18.0
19.0
20.0-beta
CODE_OF_CONDUCT.md
Dockerfile-alpine.template
Dockerfile-debian.template
LICENSE.md
README.md
docker-cron.sh
docker-entrypoint.sh
generate-stackbrew-library.sh
latest.txt
logo.svg
stack.yml
update.sh
upgrade.exclude
",1
104,php-pm_php-pm,"LICENSE
README.md
bin
composer.json
phpstan.neon.dist
phpunit.xml.dist
src
tests
",0
105,fsharp_fsharp,"CHANGELOG-fsharp.md
CHANGELOG-visualfsharp.md
CONTRIBUTING.md
FSharp.Compiler.Tools.Nuget
FSharp.sln
ISSUE_TEMPLATE.md
LICENSE
License.txt
Makefile
NuGet.Config
README.md
RoslynPackageVersion.txt
appveyor.yml
attributions.md
build
build-everything.proj
build-nuget-packages.proj
build.bat
lib
mono
packages.config
src
tests
verify-translations.cmd
",0
106,orientechnologies_orientdb-docker,"2.0
2.1
2.2
2.2-spatial
3.0
3.0-spatial
3.0-tp3
LICENSE
README.md
examples
kubernetes
logo.png
release
",0
107,matomo-org_docker,"Dockerfile-alpine.template
Dockerfile-debian.template
README.md
apache
docker-entrypoint.sh
fpm
fpm-alpine
generate-stackbrew-library.sh
license.md
php.ini
update.sh
",1
108,rails_rails,"Brewfile
CODE_OF_CONDUCT.md
CONTRIBUTING.md
Gemfile
Gemfile.lock
MIT-LICENSE
RAILS_VERSION
README.md
RELEASING_RAILS.md
Rakefile
actioncable
actionmailbox
actionmailer
actionpack
actiontext
actionview
activejob
activemodel
activerecord
activestorage
activesupport
ci
guides
package.json
rails.gemspec
railties
tasks
tools
version.rb
yarn.lock
",0
109,docker-library_celery,"3.1
4.0
Dockerfile.template
LICENSE
README.md
generate-stackbrew-library.sh
update.sh
",1
110,crate_crate,,0
111,alt-cloud_docker-brew-alt,"Dockerfile
LICENSE
README.md
gen-apt-files.sh
prep-docker-brew-branch.sh
update.sh
",0
112,TimWolla_docker-adminer,"4
README.md
generate-stackbrew-library.sh
update.sh
",0
113,debuerreotype_docker-debian-artifacts,,0
114,docker-library_buildpack-deps,"Dockerfile-curl.template
Dockerfile-scm.template
Dockerfile.template
LICENSE
README.md
apply-templates.sh
debian
generate-stackbrew-library.sh
ubuntu
update.sh
versions.json
versions.sh
",1
115,tianon_docker-brew-cirros,"LICENSE
README.md
download.sh
generate-stackbrew-library.sh
",0
116,docker-flink_docker-flink,"1.8
1.9
Dockerfile-debian.template
LICENSE
README.md
add-version.sh
docker-entrypoint.sh
generate-stackbrew-library.sh
testing
",1
117,SonarSource_docker-sonarqube,"7
8
CONTRIBUTING.md
LICENSE
NOTICE.txt
README.md
build-and-run.sh
develop.md
example-compose-files
examples.md
run-public-image-tests.sh
run-tests.sh
",0
118,docker-library_redmine,"4.0
4.1
Dockerfile-alpine.template
Dockerfile-debian.template
Dockerfile-passenger.template
LICENSE
README.md
docker-entrypoint.sh
generate-stackbrew-library.sh
update.sh
",1
119,ibmruntimes_ci.docker,"LICENSE
Makefile
README.md
ibmjava
",0
