,project,list,InTemplate?
0,arangodb_arangodb,,0
1,apache_storm,"DEPENDENCY-LICENSES
DEVELOPER.md
KEYS
LICENSE
LICENSE-binary
NOTICE
NOTICE-binary
README.markdown
RELEASING.md
SECURITY.md
THIRD-PARTY.properties
VERSION
bin
conf
dev-tools
doap_Storm.rdf
docs
examples
external
flux
integration-test
licenses
log4j2
pom.xml
sql
storm-buildtools
storm-checkstyle
storm-client
storm-clojure
storm-clojure-test
storm-core
storm-dist
storm-multilang
storm-server
storm-shaded-deps
storm-submit-tools
storm-webapp
",0
2,iojs_io.js,"AUTHORS
BSDmakefile
BUILDING.md
CHANGELOG.md
CODE_OF_CONDUCT.md
CONTRIBUTING.md
GOVERNANCE.md
LICENSE
Makefile
README.md
SECURITY.md
android-configure
benchmark
common.gypi
configure
configure.py
deps
doc
glossary.md
lib
node.gyp
node.gypi
onboarding.md
src
test
tools
vcbuild.bat
",0
3,docker_hub-beta-feedback,"ISSUE_TEMPLATE.md
README.md
",0
4,jessfraz_irssi,"LICENSE
README.md
alpine
debian
generate-stackbrew-library.sh
update.sh
",0
5,odoo_docker,"11.0
12.0
13.0
LICENSE
README.md
",0
6,backdrop-ops_backdrop-docker,"1
README.md
",0
7,RocketChat_Rocket.Chat,"CODE_OF_CONDUCT.md
FEATURES.md
HISTORY.md
LICENSE
LIMITATION_OF_RESPONSIBILITY.md
README.md
SECURITY.md
app
app.json
client
definition
docker-compose.yml
ee
example-build-run.sh
example-ecosystem.json
example-pm2.json
example-settings.json
imports
install.sh
lib
mocha.opts.js
mocha_end_to_end.opts.js
package-lock.json
package.json
packages
private
public
publish_packages.sh
scalingo.json
server
tests
tsconfig.json
typings.d.ts
",0
8,rocker-org_rocker,"CODE_OF_CONDUCT.md
CONTRIBUTING.md
LICENSE
README.md
circle.yml
doc
icon
r-apt
r-base
r-bspm
r-devel
r-rmd
r-rspm
r-ubuntu
rstudio
",0
9,php_php-src,"CODING_STANDARDS.md
CONTRIBUTING.md
EXTENSIONS
LICENSE
NEWS
README.REDIST.BINS
README.md
TSRM
UPGRADING
UPGRADING.INTERNALS
Zend
appveyor
azure
azure-pipelines.yml
build
buildconf
buildconf.bat
configure.ac
docs
ext
main
pear
php.ini-development
php.ini-production
run-tests.php
sapi
scripts
tests
travis
win32
",0
10,docker_distribution,"BUILDING.md
CONTRIBUTING.md
Dockerfile
GOVERNANCE.md
LICENSE
MAINTAINERS
Makefile
README.md
ROADMAP.md
blobs.go
cmd
configuration
context
contrib
digestset
doc.go
docs
errors.go
go.mod
go.sum
health
manifest
manifests.go
metrics
notifications
project
reference
registry
registry.go
releases
script
tags.go
testutil
uuid
vendor
version
",0
11,elastic_elasticsearch,"CONTRIBUTING.md
LICENSE.txt
NOTICE.txt
README.asciidoc
TESTING.asciidoc
Vagrantfile
benchmarks
build.gradle
buildSrc
client
dev-tools
distribution
docs
gradle
gradle.properties
gradlew
gradlew.bat
libs
licenses
modules
plugins
qa
rest-api-spec
server
settings.gradle
test
x-pack
",0
12,docker_docker-ce,"CHANGELOG.md
CONTRIBUTING.md
LICENSE
Makefile
README.md
VERSION
components
components.conf
",0
13,Kong_kong-mesh-dist-kubernetes,"Dockerfile.kong-config
Makefile
README.md
docker-entrypoint-kong-config.sh
servicea.yaml
serviceb.yaml
",0
14,scientificlinux_sl-docker,"README.md
sign-image.sh
sl.official
",0
15,RocketChat_Docker.Official.Image,"2
3
README.md
UPDATE.md
docker-compose.yml
functions.sh
generate-stackbrew-library.sh
update.sh
",0
16,mongo-express_mongo-express,"Dockerfile
HISTORY.md
README.md
app.js
config.default.js
lib
manifest.yml
package.json
patches
public
test
webpack.config.js
yarn.lock
",0
17,docker-library_official-images,"Dockerfile
LICENSE
MAINTAINERS
NEW-IMAGE-CHECKLIST.md
README.md
_bashbrew-cat-sorted.sh
bashbrew-version
diff-pr.sh
heavy-hitters.txt
library
naughty-commits.sh
naughty-constraints.sh
naughty-from.sh
test
test-pr.sh
toc.sh
",0
18,fluent_fluentd,"ADOPTERS.md
AUTHORS
CHANGELOG.md
CONTRIBUTING.md
GOVERNANCE.md
Gemfile
GithubWorkflow.md
LICENSE
MAINTAINERS.md
README.md
Rakefile
appveyor.yml
bin
code-of-conduct.md
docs
example
fluent.conf
fluentd.gemspec
lib
templates
test
",0
19,percona_percona-docker,"LICENSE
README.md
build_scripts
haproxy
percona-distribution-postgresql-11
percona-distribution-postgresql-12
percona-server-5.6
percona-server-5.7
percona-server-8.0
percona-server-group-replication-5.7
percona-server-master-slave
percona-server-mongodb
percona-server-mongodb-3.2
percona-server-mongodb-3.4
percona-server-mongodb-3.6
percona-server-mongodb-4.0
percona-server-mongodb-4.2
percona-server-mongodb-4.4
percona-toolkit
percona-xtrabackup-2.3
percona-xtrabackup-2.4
percona-xtrabackup-8.0
percona-xtradb-cluster-5.6
percona-xtradb-cluster-5.7
percona-xtradb-cluster-5.7-backup
percona-xtradb-cluster-8.0
percona-xtradb-cluster-8.0-backup
proxysql
test
",0
20,cloudbees_jenkins-ci.org-docker,"CHANGELOG.md
CONTRIBUTING.md
Dockerfile
Dockerfile-alpine
Dockerfile-centos
Dockerfile-centos7
Dockerfile-jdk11
Dockerfile-openj9
Dockerfile-openj9-jdk11
Dockerfile-slim
HACKING.adoc
Jenkinsfile
LICENSE.txt
Makefile
README.md
docker-compose.yml
install-plugins.sh
jenkins-plugin-cli.sh
jenkins-support
jenkins.sh
multiarch
plugins.sh
tests
tini-shim.sh
tini_pub.gpg
tools
",0
21,orientechnologies_orientdb,"Jenkinsfile
Jenkinsfile-crash.groovy
Jenkinsfile-distributed.groovy
Jenkinsfile.PREV
Jenkinsfile_coverage
OrientDB_logo.svg
README.md
_base
client
core
distributed
distributed-v2
distribution
distribution-tp2
etl
graphdb
history.txt
javassist
jdbc
license.txt
lucene
mvnw
mvnw.cmd
object
pom.xml
readme.txt
server
test-commons
tests
tools
upgrade.txt
",0
22,nats-io_nats-streaming-docker,"0.18.0
LICENSE
README.md
tests
update-server-version.sh
",0
23,sgerrand_docker-glibc-builder,"Dockerfile
README.md
builder
configparams
",0
24,Senzing_senzing-package,"CHANGELOG.md
CODE_OF_CONDUCT.md
CONTRIBUTING.md
Dockerfile
LICENSE
Makefile
PULL_REQUEST_TEMPLATE.md
README.md
docker-compose.test.yml
docs
hooks
requirements.txt
rootfs
senzing-package.py
",0
25,nodejs_docker-iojs,"1.8
2.5
3.3
GOVERNANCE.md
LICENSE
README.md
generate-stackbrew-library.sh
update.sh
",0
26,caddyserver_caddy,"AUTHORS
LICENSE
README.md
admin.go
admin_test.go
caddy.go
caddy_test.go
caddyconfig
caddytest
cmd
context.go
context_test.go
go.mod
go.sum
listeners.go
listeners_fuzz.go
listeners_test.go
logging.go
modules
modules.go
modules_test.go
replacer.go
replacer_fuzz.go
replacer_test.go
sigtrap.go
sigtrap_nonposix.go
sigtrap_posix.go
storage.go
usagepool.go
",0
27,docker_notary-official-images,"README.md
notary-server
notary-signer
",0
28,znc_znc,"CMakeLists.txt
CONTRIBUTING.md
ChangeLog.md
Dockerfile
Doxyfile
Jenkinsfile
LICENSE
NOTICE
README.md
TRANSLATORS.md
ZNCConfig.cmake.in
cmake
configure
configure.sh
docker
include
make-tarball.sh
man
modules
src
test
third_party
translation_pot.py
translations
webskins
znc-buildmod.cmake.in
znc.pc.cmake.in
znc.service.in
zz_msg
",0
29,nodejs_docker-node,"10
12
14
ACTIVE_MAINTAINERS
CONTRIBUTING.md
Dockerfile-alpine.template
Dockerfile-debian.template
Dockerfile-slim.template
GOVERNANCE.md
LICENSE
README.md
SECURITY.md
architectures
config
docker-entrypoint.sh
docs
functions.sh
generate-stackbrew-library.sh
generate-stackbrew-pr.sh
keys
test-build.sh
test-image.bats
travis.yml.template
update-keys.sh
update.sh
",1
30,docker_doodle,"README.md
birthday2019
cheers2019
halloween2019
summer2019
",0
31,Yelp_dumb-init,"CONTRIBUTING.md
Dockerfile
LICENSE
MANIFEST.in
Makefile
README.md
VERSION
VERSION.h
ci
circle.yml
debian
dumb-init.c
pytest.ini
requirements-dev.txt
setup.py
testing
tests
tox.ini
",0
32,CentOS_sig-cloud-instance-images,"README.md
docker
",0
33,docker-library_ruby,"2.5
2.6
2.7
Dockerfile-alpine.template
Dockerfile-debian.template
Dockerfile-slim.template
LICENSE
README.md
generate-stackbrew-library.sh
update.sh
",1
34,friendica_friendica,"CHANGELOG
CREDITS.txt
Doxyfile
LICENSE
README.md
VERSION
Vagrantfile
autotest.sh
bin
boot.php
build.xml
composer.json
composer.lock
config
database.sql
doc
docblox.dist.xml
friendica_test_data.sql
images
include
index.php
library
mod
mods
ruleset.xml
spec
src
static
tests
update.php
view
",0
35,apache_flink-docker,"1.10
1.11
LICENSE
README.md
generate-stackbrew-library-docker.sh
generate-stackbrew-library.sh
",0
36,cpuguy83_docker-jruby,"9000
LICENSE.md
README.md
update.sh
",0
37,rapidoid_docker-rapidoid,"Dockerfile
README.md
entrypoint.sh
",0
38,portworx_px-dev,"README.md
build
build-dev
cli_reference.md
conf
examples
faq.md
images
install_run_coreos.md
install_run_rhel.md
install_run_ubuntu.md
install_with_compose.md
install_with_k8s.md
install_with_mesosphere.md
quick-start
run_with_rancher.md
using_shared_volumes.md
",0
39,Kong_docker-kong,"LICENSE
Makefile
README.md
alpine
bintray-release.sh
centos
compose
customize
rhel
submit.sh
tests.sh
ubuntu
update.sh
",0
40,wasdev_ci.docker,"LICENSE
README.md
SECURITY.md
beta
ga
samples
test
tools
",0
